試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,1,L,吉田みなみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,2,,山口舞,5,■,■,■,■,■,34,12,2,35.3,29.4,2.40,0,0,0,-,3,0.60,12,0,0,1,2.1,19,8,0,42.1,15,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,4,,野村まり,3,□,□,nan,nan,□,2,1,0,50.0,50.0,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,7,,神田千絵,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,8,,川畑愛希,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,11,,北村みどり,5,□,□,□,■,□,0,0,0,,,-,0,0,0,-,0,-,7,0,1,4,14.3,1,1,0,100.0,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,12,,村田奈都美,5,■,■,■,■,■,45,11,3,24.4,17.8,2.20,1,0,0,0.0,1,0.20,14,2,1,3,16.8,16,12,0,75.0,14,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,13,,高松未,5,■,■,■,■,■,16,5,0,31.2,31.2,1.00,0,0,0,-,1,0.20,12,0,0,3,6.2,18,13,0,72.2,6,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,15,,岡野弘子,5,■,■,■,□,■,1,0,0,0.0,0.0,-,0,0,0,-,1,0.20,13,0,0,3,5.8,0,0,0,-,1,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,18,L,金森純子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,10,0,58.8,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,21,,森和代,5,■,■,■,■,■,48,16,5,33.3,22.9,3.20,1,1,0,100.0,2,0.40,16,0,0,1,1.6,11,5,0,45.5,18,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,33,,若浦貴子,5,■,■,■,■,□,50,15,1,30.0,28.0,3.00,0,0,0,-,1,0.20,13,1,0,1,9.6,9,4,0,44.4,17,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,41,,小菅真弓,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,55,,堀田理恵,4,nan,□,□,□,■,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,10,0,0,5,12.5,4,3,0,75.0,1,,,,,,,,
2009-02-07,岡山シーガルズ,デンソーエアリービーズ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,199,61,11,30.7,25.1,12.20,2,1,0,50.0,9,1.80,99,3,2,22,8.2,95,56,0,58.9,73,191,74,9,38.7,13,2.60,12.3,75.0
