試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,1,,吉田みなみ,5,□,■,■,■,■,37,16,1,43.2,40.5,3.20,0,0,0,-,1,0.20,15,0,0,2,3.3,28,15,0,53.6,17
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,2,,山口舞,5,■,■,■,■,■,25,13,3,52.0,40.0,2.60,2,0,0,0.0,1,0.20,18,1,0,2,7.2,19,8,0,42.1,15
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,3,,米村信子,2,■,nan,□,nan,nan,12,1,1,8.3,0.0,0.50,1,0,0,0.0,1,0.50,1,0,0,0,0.0,4,2,0,50.0,2
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,5,,福田舞,5,■,■,■,■,■,54,21,5,38.9,29.6,4.20,1,1,0,100.0,1,0.20,21,0,1,7,8.3,6,4,0,66.7,22
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,6,,堀口夏実,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,12,,村田奈都美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,14,,宮下遥,5,□,□,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,10,0,1,2,5.0,0,0,0,-,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,15,,岡野弘子,5,■,■,□,□,□,0,0,0,,,-,0,0,0,-,0,-,11,0,0,6,13.6,1,1,0,100.0,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,20,L,丸山亜季,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,10,0,52.6,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,21,,森和代,5,■,■,■,■,■,27,7,2,25.9,18.5,1.40,0,0,0,-,2,0.40,8,0,0,2,6.2,15,8,0,53.3,9
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,22,,卜部里菜,4,□,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,5,0,0,0,0.0,8,5,0,62.5,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,28,,川島亜依美,5,□,■,■,■,■,16,7,2,43.8,31.2,1.40,0,0,0,-,2,0.40,6,0,1,2,8.3,0,0,0,-,9
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,29,L,瀬尾有耶,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,33,,若浦貴子,4,■,□,nan,□,□,21,3,1,14.3,9.5,0.75,0,0,0,-,1,0.25,2,0,0,0,0.0,1,0,0,0.0,4
2011-02-27,岡山シーガルズ,デンソーエアリービーズ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,193,68,15,35.2,27.5,13.60,4,1,0,25.0,9,1.80,98,1,3,23,6.7,101,53,0,52.5,78
