試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,2,,山口舞,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,4,,吉岡美晴,1,□,nan,nan,nan,nan,11,3,0,27.3,27.3,3.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,3
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,5,,宇賀神みずき,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,6,,渡邊真恵,3,■,■,■,nan,nan,34,14,1,41.2,38.2,4.67,1,0,0,0.0,0,-,12,2,0,4,25.0,10,1,3,25.0,16
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,7,,佐々木萌,3,■,■,■,nan,nan,34,15,0,44.1,44.1,5.00,1,0,0,0.0,0,-,7,0,1,0,-3.6,12,6,5,70.8,15
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,8,,及川真夢,3,□,□,□,nan,nan,6,1,0,16.7,16.7,0.33,0,0,0,-,1,0.33,2,0,0,1,12.5,0,0,0,-,2
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,12,,居村杏奈,3,■,■,■,nan,nan,13,4,1,30.8,23.1,1.33,0,0,0,-,4,1.33,9,0,0,2,5.6,0,0,0,-,8
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,14,,宮下遥,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,18,0,0,3,4.2,0,0,0,-,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,16,L,永間香奈子,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,5,3,59.1,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,18,,金田修佳,3,■,■,■,nan,nan,43,12,1,27.9,25.6,4.00,0,0,0,-,1,0.33,12,1,0,2,12.5,23,8,11,58.7,14
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,20,L,丸山亜季,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,3,0,100.0,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,21,,高野由里加,2,■,nan,■,nan,nan,2,2,0,100.0,100.0,1.00,0,0,0,-,0,-,8,0,0,2,6.2,0,0,0,-,2
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,27,,楢崎慈恵,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,2,1,0,50.0,0
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,28,,川島亜依美,2,□,■,nan,nan,nan,6,1,0,16.7,16.7,0.50,0,0,0,-,1,0.50,2,0,0,0,0.0,0,0,0,-,2
2019-01-26,岡山シーガルズ,KUROBEアクアフェアリーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,149,52,3,34.9,32.9,17.33,2,0,0,0.0,7,2.33,73,3,1,15,8.9,61,24,22,57.4,62
