試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-01,4,,吉岡美晴,1,,□,,,,3,1,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,5,,宇賀神みずき,3,□,□,□,,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,6,0,1,0,-4.2,0,0,0,-
2019-12-01,6,,渡邊真恵,3,■,■,■,,,25,19,0,0.76,0.76,6.33,1,1,0,100.0,4,1.33,6,1,1,1,16.7,1,0,0,0.0
2019-12-01,7,,佐々木萌,3,■,■,■,,,28,10,1,0.35714285714285715,0.32142857142857145,3.33,2,0,0,0.0,0,-,6,0,0,3,12.5,15,8,2,60.0
2019-12-01,8,,及川真夢,3,■,■,■,,,10,6,0,0.6,0.6,2.00,0,0,0,-,2,0.67,7,1,0,2,21.4,0,0,0,-
2019-12-01,10,,西村弥菜美,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,2,1,0,50.0
2019-12-01,12,,居村杏奈,3,■,■,□,,,1,1,0,1.0,1.0,0.33,0,0,0,-,2,0.67,19,1,0,9,17.1,0,0,0,-
2019-12-01,14,,宮下遥,3,■,■,■,,,0,0,0,,,-,0,0,0,-,0,-,13,0,1,2,1.9,0,0,0,-
2019-12-01,18,,金田修佳,3,■,■,■,,,32,15,1,0.46875,0.4375,5.00,0,0,0,-,1,0.33,10,0,0,4,10.0,22,17,1,79.5
2019-12-01,20,L,丸山亜季,1,,,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,21,,高野由里加,1,□,,,,,3,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,26,,長瀬そら,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-
2019-12-01,27,L,楢崎慈恵,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,6,2,87.5
2019-12-01,28,,川島亜依美,1,,,■,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-01,チーム合計,チーム合計,チーム合計,3,,,,,,104,53,2,0.5096153846153846,0.49038461538461536,17.67,3,1,0,33.3,9,3.00,74,3,3,24,11.1,48,32,5,71.9
