試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-04,岡山シーガルズ,4,,吉岡美晴,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-04,岡山シーガルズ,5,,宇賀神みずき,3,nan,□,■,□,nan,0,0,0,,,-,0,0,0,-,1,0.33,7,0,1,2,3.6,0,0,0,-
2020-01-04,岡山シーガルズ,6,,渡邊真恵,4,■,■,■,■,nan,36,16,1,0.4444444444444444,0.4166666666666667,4.00,3,1,0,33.3,0,-,16,0,3,6,4.7,0,0,0,-
2020-01-04,岡山シーガルズ,7,,佐々木萌,4,■,■,■,■,nan,52,14,3,0.2692307692307692,0.21153846153846154,3.50,1,0,1,0.0,0,-,21,3,1,11,26.2,36,20,6,63.9
2020-01-04,岡山シーガルズ,8,,及川真夢,4,■,■,■,■,nan,22,12,0,0.5454545454545454,0.5454545454545454,3.00,0,0,0,-,1,0.25,14,0,0,3,5.4,0,0,0,-
2020-01-04,岡山シーガルズ,10,,西村弥菜美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,8,1,0,4,25.0,6,4,1,75.0
2020-01-04,岡山シーガルズ,12,,居村杏奈,4,■,■,■,■,nan,10,5,0,0.5,0.5,1.25,0,0,0,-,2,0.50,13,0,0,3,5.8,1,1,0,100.0
2020-01-04,岡山シーガルズ,14,,宮下遥,4,■,■,□,■,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,2,4.2,0,0,0,-
2020-01-04,岡山シーガルズ,18,,金田修佳,4,■,■,■,■,nan,61,20,0,0.32786885245901637,0.32786885245901637,5.00,0,0,0,-,1,0.25,7,1,1,1,14.3,21,9,6,57.1
2020-01-04,岡山シーガルズ,19,,森田夕貴,2,nan,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2020-01-04,岡山シーガルズ,20,L,丸山亜季,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-04,岡山シーガルズ,21,,高野由里加,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-04,岡山シーガルズ,26,,長瀬そら,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-04,岡山シーガルズ,27,L,楢崎慈恵,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,3,5,39.3
2020-01-04,岡山シーガルズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,182,67,4,0.36813186813186816,0.34615384615384615,16.75,4,1,1,25.0,5,1.25,94,5,7,32,12.0,78,37,18,59.0
