試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,4,,吉岡美晴,4,■,■,■,■,nan,34,8,1,23.5,20.6,2.00,0,0,0,-,0,-,23,0,0,6,6.5,20,18,1,92.5,8,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,5,,宇賀神みずき,4,■,■,■,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,12,0,0,2,4.2,0,0,0,-,1,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,6,,渡邊真恵,4,■,■,■,■,nan,52,18,4,34.6,26.9,4.50,1,0,0,0.0,0,-,13,0,0,4,7.7,9,7,1,83.3,18,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,8,,及川真夢,3,■,■,■,nan,nan,33,9,2,27.3,21.2,3.00,0,0,0,-,1,0.33,11,0,0,5,11.4,3,2,1,83.3,10,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,10,,西村弥菜美,3,nan,□,□,□,nan,4,1,0,25.0,25.0,0.33,0,0,0,-,0,-,1,0,0,0,0.0,4,1,2,50.0,1,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,12,,居村杏奈,2,nan,□,nan,■,nan,8,2,0,25.0,25.0,1.00,0,0,0,-,0,-,3,0,0,1,8.3,2,2,0,100.0,2,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,14,,宮下遥,2,nan,□,nan,■,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,15,,古川あおいアン,1,nan,nan,■,nan,nan,13,4,1,30.8,23.1,4.00,0,0,0,-,0,-,1,0,0,0,0.0,3,1,1,50.0,4,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,18,,金田修佳,4,■,■,□,■,nan,38,11,2,28.9,23.7,2.75,0,0,0,-,2,0.50,11,1,0,2,13.6,22,11,5,61.4,14,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,20,L,丸山亜季,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,26,,長瀬そら,2,nan,nan,□,■,nan,15,5,0,33.3,33.3,2.50,0,0,0,-,0,-,5,0,0,1,5.0,4,2,1,62.5,5,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,27,L,楢崎慈恵,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,9,2,71.4,0,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,28,,川島亜依美,3,■,■,■,nan,nan,17,7,1,41.2,35.3,2.33,0,0,0,-,1,0.33,6,0,0,1,4.2,4,4,0,100.0,8,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,31,,小野寺夏希,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2021-02-21,岡山シーガルズ,埼玉上尾メディックス,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,215,65,11,30.2,25.1,16.25,1,0,0,0.0,5,1.25,89,1,0,23,7.6,85,57,14,75.3,71,213,70,10,32.9,5,1.25,4.9,59.6
