大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,岡山シーガルズ,26,75,55,20,4,36.4,0,0,0,-,0.27,2,0.03,120,1,2,5,31,7.9,113,67,20,68.1,20,2,3,25
プレミアカンファレンス,岡山シーガルズ,15,41,26,9,1,34.6,0,0,0,-,0.22,1,0.02,62,1,1,3,22,10.9,57,38,8,73.7,9,1,2,12
交流戦,岡山シーガルズ,6,14,1,1,0,100.0,0,0,0,-,0.07,0,-,29,0,0,2,5,2.6,19,14,1,76.3,1,0,0,1
ファイナル８・Ｂグループ,岡山シーガルズ,3,11,20,9,2,45.0,0,0,0,-,0.82,1,0.09,21,0,0,0,3,3.6,19,9,6,63.2,9,1,0,10
セミファイナル①,岡山シーガルズ,1,5,2,0,0,0.0,0,0,0,-,-,0,-,7,0,1,0,1,17.9,6,2,1,41.7,0,0,1,1
ファイナル,岡山シーガルズ,1,4,6,1,1,16.7,0,0,0,-,0.25,0,-,1,0,0,0,0,0.0,12,4,4,50.0,1,0,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,岡山シーガルズ,8,21,28,4,2,14.3,0,0,0,-,0.19,0,-,31,0,0,2,10,6.5,47,26,8,63.8,4,0,0,4
Western Conference,岡山シーガルズ,4,8,8,2,1,25.0,0,0,0,-,0.25,0,-,7,0,0,0,3,10.7,9,6,2,77.8,2,0,0,2
交流戦,岡山シーガルズ,4,13,20,2,1,10.0,0,0,0,-,0.15,0,-,24,0,0,2,7,5.2,38,20,6,60.5,2,0,0,2
Ｖ・チャレンジリーグⅠ女子 2017/18,岡山シーガルズ,4,7,10,1,2,10.0,0,0,0,-,0.14,1,0.14,17,0,1,0,10,20.6,27,13,5,57.4,1,1,1,3
レギュラーラウンド,岡山シーガルズ,4,7,10,1,2,10.0,0,0,0,-,0.14,1,0.14,17,0,1,0,10,20.6,27,13,5,57.4,1,1,1,3
レギュラーシーズン通算,,33,83,65,15,5,23.1,0,0,0,-,0.18,2,0.02,139,1,2,7,47,9.4,150,91,22,68.0,15,2,3,20
通算,,38,103,93,25,8,26.9,0,0,0,-,0.24,3,0.03,168,1,3,7,51,8.9,187,106,33,65.5,25,3,4,32
