大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,岡山シーガルズ,26,93,15,6,1,40.0,0,0,0,-,0.06,12,0.13,269,1,7,12,73,8.6,7,1,2,28.6,6,12,8,26
プレミアカンファレンス,岡山シーガルズ,15,51,10,5,0,50.0,0,0,0,-,0.10,6,0.12,146,1,4,2,40,9.9,2,1,0,50.0,5,6,5,16
交流戦,岡山シーガルズ,6,20,0,0,0,-,0,0,0,-,-,4,0.20,58,0,2,6,16,7.8,0,0,0,-,0,4,2,6
ファイナル８・Ｂグループ,岡山シーガルズ,3,12,2,0,0,0.0,0,0,0,-,-,1,0.08,34,0,1,3,9,7.4,1,0,0,0.0,0,1,1,2
セミファイナル①,岡山シーガルズ,1,5,2,1,0,50.0,0,0,0,-,0.20,0,-,14,0,0,0,3,5.4,2,0,2,50.0,1,0,0,1
ファイナル,岡山シーガルズ,1,5,1,0,1,0.0,0,0,0,-,-,1,0.20,17,0,0,1,5,5.9,2,0,0,0.0,0,1,0,1
V.LEAGUE DIVISION1 WOMEN 2018-19,岡山シーガルズ,22,85,53,17,6,32.1,1,0,0,0.0,0.20,19,0.22,333,2,3,9,86,7.3,13,2,2,23.1,17,19,5,41
Western Conference,岡山シーガルズ,8,31,28,8,2,28.6,0,0,0,-,0.26,8,0.26,126,0,1,5,26,5.0,7,2,1,35.7,8,8,1,17
交流戦,岡山シーガルズ,12,48,23,9,4,39.1,1,0,0,0.0,0.19,8,0.17,180,2,1,3,53,8.6,5,0,1,10.0,9,8,3,20
チャレンジステージ,岡山シーガルズ,2,6,2,0,0,0.0,0,0,0,-,-,3,0.50,27,0,1,1,7,9.3,1,0,0,0.0,0,3,1,4
Ｖ・チャレンジリーグⅠ女子 2017/18,岡山シーガルズ,18,55,23,7,3,30.4,0,0,0,-,0.13,18,0.33,211,2,11,10,73,13.6,1,0,0,0.0,7,18,13,38
レギュラーラウンド,岡山シーガルズ,18,55,23,7,3,30.4,0,0,0,-,0.13,18,0.33,211,2,11,10,73,13.6,1,0,0,0.0,7,18,13,38
Ｖ・プレミアリーグ女子 2016/17,岡山シーガルズ,21,76,34,16,0,47.1,0,0,0,-,0.21,21,0.28,313,0,5,10,125,11.3,3,1,0,33.3,16,21,5,42
レギュラーラウンド,岡山シーガルズ,21,76,34,16,0,47.1,0,0,0,-,0.21,21,0.28,313,0,5,10,125,11.3,3,1,0,33.3,16,21,5,42
チャレンジマッチ女子2016/17,岡山シーガルズ,2,7,6,5,0,83.3,0,0,0,-,0.71,2,0.29,25,0,0,0,15,15.0,1,0,0,0.0,5,2,0,7
チャレンジマッチ,岡山シーガルズ,2,7,6,5,0,83.3,0,0,0,-,0.71,2,0.29,25,0,0,0,15,15.0,1,0,0,0.0,5,2,0,7
Ｖ・プレミアリーグ女子 2015/16,岡山シーガルズ,26,105,53,25,2,47.2,2,1,0,50.0,0.24,19,0.18,399,4,8,12,153,12.2,5,0,0,0.0,25,19,12,56
レギュラーラウンド,岡山シーガルズ,21,84,36,17,2,47.2,2,1,0,50.0,0.20,14,0.17,323,3,8,8,121,12.3,3,0,0,0.0,17,14,11,42
ファイナル６,岡山シーガルズ,5,21,17,8,0,47.1,0,0,0,-,0.38,5,0.24,76,1,0,4,32,11.8,2,0,0,0.0,8,5,1,14
Ｖ・プレミアリーグ女子 2014/15,岡山シーガルズ,26,98,50,26,1,52.0,2,1,0,50.0,0.27,21,0.21,389,0,3,13,126,8.7,6,2,0,33.3,26,21,3,50
レギュラーラウンド,岡山シーガルズ,21,77,39,20,1,51.3,2,1,0,50.0,0.26,20,0.26,300,0,2,11,96,8.5,5,2,0,40.0,20,20,2,42
ファイナル６,岡山シーガルズ,5,21,11,6,0,54.5,0,0,0,-,0.29,1,0.05,89,0,1,2,30,9.3,1,0,0,0.0,6,1,1,8
Ｖ・プレミアリーグ女子 2013/14,岡山シーガルズ,32,121,57,24,2,42.1,1,0,0,0.0,0.20,49,0.40,478,1,9,11,172,10.7,6,0,0,0.0,24,49,10,83
レギュラーラウンド,岡山シーガルズ,28,107,47,20,2,42.6,1,0,0,0.0,0.19,42,0.39,409,1,8,10,145,10.7,6,0,0,0.0,20,42,9,71
セミファイナルラウンド,岡山シーガルズ,3,10,9,4,0,44.4,0,0,0,-,0.40,6,0.60,56,0,1,1,25,12.6,0,0,0,-,4,6,1,11
