試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,1,,福田記代子,4,■,■,■,■,nan,38,14,3,36.8,28.9,3.50,6,1,2,16.7,2,0.50,11,0,0,4,9.1,1,0,0,0.0,16
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,2,,江藤直美,4,■,■,■,■,nan,26,10,0,38.5,38.5,2.50,0,0,0,-,3,0.75,12,1,0,3,12.9,1,0,0,0.0,14
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,4,,多治見麻子,4,■,■,■,■,nan,20,8,1,40.0,35.0,2.00,0,0,0,-,4,1.00,16,1,1,4,12.5,14,9,0,64.3,13
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,5,,島崎みゆき,4,■,■,■,■,nan,6,1,0,16.7,16.7,0.25,0,0,0,-,0,-,13,1,2,1,8.1,0,0,0,-,2
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,6,,田中姿子,4,■,■,■,■,nan,17,5,1,29.4,23.5,1.25,0,0,0,-,1,0.25,18,0,1,3,4.2,14,10,0,71.4,6
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,7,,谷口雅美,4,■,■,■,■,nan,30,8,3,26.7,16.7,2.00,0,0,0,-,1,0.25,16,2,2,4,17.5,11,7,0,63.6,11
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,8,,渡邉悠美,1,□,nan,nan,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,2,1,1,0,40.0,1,0,0,0.0,2
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,11,,小玉佐知子,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,13,,宝来麻紀子,2,□,nan,□,nan,nan,2,0,1,0.0,-50.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,14,,西村光代,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,16,L,安武小由樹,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,38,27,0,71.1,0
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,18,,落合真理,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2001-02-18,日立ベルフィーユ,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,141,47,9,33.3,27.0,11.75,6,1,2,16.7,11,2.75,88,6,7,19,11.3,80,53,0,66.2,64
