試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,2,,板橋恵,5,■,■,■,■,■,6,4,0,66.7,66.7,0.80,1,0,0,0.0,1,0.20,15,0,1,4,6.7,0,0,0,-,5,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,3,,都澤みどり,5,■,■,■,■,■,36,8,3,22.2,13.9,1.60,0,0,0,-,3,0.60,19,0,1,6,7.9,20,19,0,95.0,11,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,4,,大沼綾子,5,■,■,■,■,■,39,16,0,41.0,41.0,3.20,0,0,0,-,5,1.00,16,0,3,3,4.7,0,0,0,-,21,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,5,,高橋智子,3,nan,nan,□,□,□,3,1,0,33.3,33.3,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,6,,佐田樹理,5,■,■,■,■,■,37,15,1,40.5,37.8,3.00,0,0,0,-,0,-,17,1,1,3,10.3,13,11,0,84.6,16,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,7,,伊地知祐子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,9,,熊沢美穂,3,nan,□,□,□,nan,12,3,2,25.0,8.3,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,3,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,11,,海老原めぐみ,4,□,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,7,0,1,1,3.6,0,0,0,-,0,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,12,,齋藤加奈子,5,■,■,■,■,■,34,16,3,47.1,38.2,3.20,0,0,0,-,0,-,18,2,0,7,18.6,18,13,0,72.2,18,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,13,,田原香理,5,■,■,■,■,■,18,11,0,61.1,61.1,2.20,0,0,0,-,5,1.00,16,0,1,3,4.7,0,0,0,-,16,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,14,,黒羽桂子,2,nan,nan,nan,□,□,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,17,L,井野亜季子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,45,32,0,71.1,0,,,,,,,,
2006-01-21,日立リヴァーレ,茂原アルカス,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,185,74,9,40.0,35.1,14.80,1,0,0,0.0,14,2.80,110,3,8,27,8.5,96,75,0,78.1,91,192,71,11,37.0,8,1.60,9.8,71.3
