試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-02-17,日立リヴァーレ,久光製薬スプリングス,1,,黒羽桂子,4,■,■,■,■,nan,3,0,0,0.0,0.0,-,0,0,0,-,0,-,9,0,1,3,8.3,1,0,0,0.0,0
2007-02-17,日立リヴァーレ,久光製薬スプリングス,2,,板橋恵,3,nan,□,□,□,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,9,0,1,2,5.6,0,0,0,-,1
2007-02-17,日立リヴァーレ,久光製薬スプリングス,4,,田中弓貴,4,□,□,□,■,nan,4,1,2,25.0,-25.0,0.25,0,0,0,-,0,-,2,0,0,0,0.0,8,5,0,62.5,1
2007-02-17,日立リヴァーレ,久光製薬スプリングス,6,,佐田樹理,4,■,□,□,□,nan,10,1,0,10.0,10.0,0.25,0,0,0,-,1,0.25,8,0,0,0,0.0,13,7,0,53.8,2
2007-02-17,日立リヴァーレ,久光製薬スプリングス,8,,井西彩乃,4,■,■,■,■,nan,42,12,1,28.6,26.2,3.00,0,0,0,-,1,0.25,11,0,0,3,6.8,27,19,0,70.4,13
2007-02-17,日立リヴァーレ,久光製薬スプリングス,9,,熊沢美穂,3,□,■,■,nan,nan,31,10,1,32.3,29.0,3.33,0,0,0,-,2,0.67,5,0,1,1,5.0,5,3,0,60.0,12
2007-02-17,日立リヴァーレ,久光製薬スプリングス,11,,海老原めぐみ,2,□,nan,nan,□,nan,5,2,0,40.0,40.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,1,1,0,100.0,2
2007-02-17,日立リヴァーレ,久光製薬スプリングス,12,,齋藤加奈子,4,■,■,■,■,nan,39,14,2,35.9,30.8,3.50,0,0,0,-,0,-,19,0,0,5,6.6,21,18,0,85.7,14
2007-02-17,日立リヴァーレ,久光製薬スプリングス,13,,田原香理,4,■,■,■,■,nan,17,9,3,52.9,35.3,2.25,0,0,0,-,2,0.50,15,0,0,1,1.7,3,2,0,66.7,11
2007-02-17,日立リヴァーレ,久光製薬スプリングス,14,,嶋田美樹,4,■,■,■,■,nan,22,8,1,36.4,31.8,2.00,0,0,0,-,6,1.50,14,1,0,2,10.7,4,3,0,75.0,15
2007-02-17,日立リヴァーレ,久光製薬スプリングス,17,L,井野亜季子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,5,0,83.3,0
2007-02-17,日立リヴァーレ,久光製薬スプリングス,20,,水口友見,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-02-17,日立リヴァーレ,久光製薬スプリングス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,174,58,10,33.3,27.6,14.50,0,0,0,-,12,3.00,94,1,3,18,5.9,89,63,0,70.8,71
