試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2016-02-28,日立リヴァーレ,岡山シーガルズ,3,,井上奈々朱,4,■,■,■,■,nan,17,6,3,35.3,17.6,1.50,0,0,0,-,1,0.25,6,0,2,2,8.3,0,0,0,-,7
2016-02-28,日立リヴァーレ,岡山シーガルズ,4,,橋本直子,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,5,L,佐藤あり紗,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,7,0,53.8,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,6,,引地舞,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,0,4,36.0,0,0,0,-,1
2016-02-28,日立リヴァーレ,岡山シーガルズ,7,,パオリーニローレン,4,■,■,■,■,nan,42,17,3,40.5,33.3,4.25,0,0,0,-,1,0.25,13,1,2,7,19.6,0,0,0,-,19
2016-02-28,日立リヴァーレ,岡山シーガルズ,8,,佐藤美弥,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,2,0.50,21,1,0,15,21.7,0,0,0,-,4
2016-02-28,日立リヴァーレ,岡山シーガルズ,9,,渡邊久惠,2,nan,nan,□,■,nan,33,13,1,39.4,36.4,6.50,5,3,0,60.0,0,-,8,0,1,2,6.2,0,0,0,-,13
2016-02-28,日立リヴァーレ,岡山シーガルズ,10,,内瀬戸真実,4,■,■,■,■,nan,31,6,1,19.4,16.1,1.50,1,0,0,0.0,0,-,22,3,0,9,21.1,38,20,0,52.6,9
2016-02-28,日立リヴァーレ,岡山シーガルズ,11,,栗原恵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,12,,遠井萌仁,4,■,■,■,■,nan,31,11,1,35.5,32.3,2.75,0,0,0,-,1,0.25,10,0,0,4,10.0,29,17,0,58.6,12
2016-02-28,日立リヴァーレ,岡山シーガルズ,14,,佐々木美麗,4,■,■,■,□,nan,39,14,2,35.9,30.8,3.50,4,1,0,25.0,1,0.25,9,1,0,2,16.7,0,0,0,-,16
2016-02-28,日立リヴァーレ,岡山シーガルズ,16,,東原枝里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,17,L,斎田杏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,18,,小池杏菜,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2016-02-28,日立リヴァーレ,岡山シーガルズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,195,68,11,34.9,29.2,17.00,10,4,0,40.0,6,1.50,96,7,5,46,18.0,80,44,0,55.0,81
