試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2017-03-11,日立リヴァーレ,久光製薬スプリングス,1,,間橋香織,2,nan,□,■,nan,nan,18,9,4,50.0,27.8,4.50,3,1,1,33.3,1,0.50,8,0,0,2,6.2,23,6,0,26.1,10
2017-03-11,日立リヴァーレ,久光製薬スプリングス,3,,井上奈々朱,3,■,■,■,nan,nan,12,3,2,25.0,8.3,1.00,0,0,0,-,2,0.67,8,0,1,3,9.4,1,1,0,100.0,5
2017-03-11,日立リヴァーレ,久光製薬スプリングス,4,,下平夏奈,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,5,L,佐藤あり紗,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,11,0,78.6,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,7,L,齋藤加奈子,1,nan,〇,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,8,,佐藤美弥,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,14,0,1,7,12.5,0,0,0,-,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,9,,渡邊久惠,3,■,■,■,nan,nan,39,17,2,43.6,38.5,5.67,11,2,2,18.2,0,-,6,0,1,2,8.3,0,0,0,-,17
2017-03-11,日立リヴァーレ,久光製薬スプリングス,10,,内瀬戸真実,3,■,■,■,nan,nan,30,5,2,16.7,10.0,1.67,0,0,0,-,0,-,10,0,0,0,0.0,15,14,0,93.3,5
2017-03-11,日立リヴァーレ,久光製薬スプリングス,11,,栗原恵,1,nan,□,nan,nan,nan,5,1,0,20.0,20.0,1.00,0,0,0,-,0,-,2,0,0,1,12.5,3,2,0,66.7,1
2017-03-11,日立リヴァーレ,久光製薬スプリングス,12,,遠井萌仁,2,■,■,nan,nan,nan,13,4,2,30.8,15.4,2.00,0,0,0,-,0,-,3,0,1,1,8.3,10,4,0,40.0,4
2017-03-11,日立リヴァーレ,久光製薬スプリングス,14,,ジャクソンカースティ,3,■,■,■,nan,nan,22,11,1,50.0,45.5,3.67,0,0,0,-,0,-,11,0,1,5,11.4,2,2,0,100.0,11
2017-03-11,日立リヴァーレ,久光製薬スプリングス,18,,小池杏菜,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,2,0,33.3,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,19,,芳賀舞波,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,2,16.7,0,0,0,-,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,21,,長内美和子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2017-03-11,日立リヴァーレ,久光製薬スプリングス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,140,50,13,35.7,26.4,16.67,14,3,3,21.4,3,1.00,65,0,6,23,8.8,75,43,0,57.3,53
