試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-26,1,,上坂瑠子,1,,,□,,,2,2,0,1.0,1.0,2.00,1,1,0,100.0,0,-,1,0,0,1,25.0,2,1,1,75.0
2019-10-26,2,,小野寺友香,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-10-26,3,,堀井有蘭,2,□,□,,,,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,0,0,0,0,-,3,0,3,50.0
2019-10-26,4,,窪田美侑,3,■,■,■,,,19,7,3,0.3684210526315789,0.21052631578947367,2.33,2,1,0,50.0,1,0.33,11,1,1,2,11.4,31,11,8,48.4
2019-10-26,6,,芳賀舞波,3,■,■,■,,,10,4,1,0.4,0.3,1.33,0,0,0,-,1,0.33,11,1,0,3,15.9,0,0,0,-
2019-10-26,7,L,齋藤加奈子,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,2,5,50.0
2019-10-26,8,,佐藤美弥,3,■,■,■,,,1,1,0,1.0,1.0,0.33,0,0,0,-,1,0.33,8,0,1,2,3.1,0,0,0,-
2019-10-26,9,,渡邊久惠,3,■,■,■,,,33,8,1,0.24242424242424243,0.21212121212121213,2.67,7,1,1,14.3,0,-,15,1,0,7,18.3,1,0,1,50.0
2019-10-26,10,L,小池杏菜,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-26,13,,長内美和子,3,■,■,■,,,49,13,4,0.2653061224489796,0.1836734693877551,4.33,2,0,0,0.0,1,0.33,8,0,1,0,-3.1,18,7,3,47.2
2019-10-26,14,,入澤まい,3,■,■,■,,,13,6,1,0.46153846153846156,0.38461538461538464,2.00,1,0,1,0.0,0,-,9,0,1,2,2.8,0,0,0,-
2019-10-26,15,,土井さくら,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2019-10-26,16,,巻口明日香,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-26,17,,オクム大庭冬美ハウィ,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-10-26,チーム合計,チーム合計,チーム合計,3,,,,,,128,41,11,0.3203125,0.234375,13.67,13,3,2,23.1,4,1.33,67,3,4,18,9.7,64,21,21,49.2
