試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-10-12,4,,窪田美侑,4,■,■,■,■,,28,15,0,0.5357142857142857,0.5357142857142857,3.75,0,0,0,-,1,0.25,11,0,1,7,13.6,16,8,4,62.5
2019-10-19,4,,窪田美侑,3,■,■,■,,,15,9,0,0.6,0.6,3.00,0,0,0,-,0,-,10,0,1,2,2.5,32,11,8,46.9
2019-10-20,4,,窪田美侑,3,■,■,■,,,19,11,2,0.5789473684210527,0.4736842105263158,3.67,1,1,0,100.0,0,-,12,0,2,1,-2.1,21,15,3,78.6
2019-10-26,4,,窪田美侑,3,■,■,■,,,19,7,3,0.3684210526315789,0.21052631578947367,2.33,2,1,0,50.0,1,0.33,11,1,1,2,11.4,31,11,8,48.4
2019-10-27,4,,窪田美侑,4,■,■,■,■,,23,7,1,0.3043478260869565,0.2608695652173913,1.75,3,0,1,0.0,0,-,18,0,0,2,2.8,60,27,13,55.8
2019-11-02,4,,窪田美侑,5,■,■,■,■,■,35,15,0,0.42857142857142855,0.42857142857142855,3.00,3,0,0,0.0,2,0.40,22,1,3,7,9.1,35,11,13,50.0
2019-11-03,4,,窪田美侑,3,■,■,■,,,23,9,0,0.39130434782608703,0.39130434782608703,3.00,0,0,0,-,0,-,12,0,0,7,14.6,31,9,13,50.0
2019-11-09,4,,窪田美侑,3,■,■,■,,,17,7,1,0.4117647058823529,0.35294117647058826,2.33,0,0,0,-,0,-,7,0,3,1,-7.1,26,10,8,53.8
2019-11-16,4,,窪田美侑,3,■,■,■,,,11,4,1,0.3636363636363637,0.2727272727272727,1.33,0,0,0,-,0,-,8,0,2,1,-3.1,26,11,3,48.1
2019-11-17,4,,窪田美侑,5,■,■,■,■,■,43,20,0,0.4651162790697674,0.4651162790697674,4.00,0,0,0,-,0,-,17,0,0,2,2.9,39,18,12,61.5
2019-11-23,4,,窪田美侑,5,■,■,■,■,■,32,16,0,0.5,0.5,3.20,1,1,0,100.0,0,-,18,0,1,3,2.8,48,25,18,70.8
2019-11-24,4,,窪田美侑,5,■,■,■,■,■,26,6,0,0.2307692307692308,0.2307692307692308,1.20,2,0,0,0.0,0,-,10,0,0,3,7.5,41,17,16,61.0
2019-11-30,4,,窪田美侑,3,■,■,■,,,13,7,1,0.5384615384615384,0.4615384615384616,2.33,0,0,0,-,1,0.33,14,2,1,3,17.9,18,8,3,52.8
2019-12-01,4,,窪田美侑,5,■,■,■,■,■,44,14,3,0.3181818181818182,0.25,2.80,1,0,0,0.0,1,0.20,20,1,1,2,6.2,31,18,4,64.5
2019-12-07,4,,窪田美侑,3,■,■,■,,,23,8,1,0.3478260869565217,0.3043478260869565,2.67,0,0,0,-,0,-,10,0,1,3,5.0,28,15,5,62.5
2019-12-08,4,,窪田美侑,3,■,■,■,,,18,9,0,0.5,0.5,3.00,0,0,0,-,1,0.33,17,0,1,1,0.0,20,11,4,65.0
2019-12-14,4,,窪田美侑,5,■,■,■,■,■,32,13,2,0.40625,0.34375,2.60,0,0,0,-,1,0.20,15,0,1,3,3.3,32,17,5,60.9
2019-12-15,4,,窪田美侑,5,■,■,■,■,■,29,8,3,0.27586206896551724,0.1724137931034483,1.60,1,0,0,0.0,3,0.60,19,1,0,5,11.8,56,26,13,58.0
2019-12-21,4,,窪田美侑,4,■,■,■,■,,25,6,1,0.24,0.2,1.50,0,0,0,-,2,0.50,16,0,2,4,3.1,36,7,12,36.1
2019-12-22,4,,窪田美侑,3,■,■,□,,,9,2,1,0.2222222222222222,0.1111111111111111,0.67,1,1,0,100.0,0,-,5,0,0,3,15.0,22,11,2,54.5
2019-12-28,4,,窪田美侑,4,■,■,■,■,,31,9,3,0.2903225806451613,0.1935483870967742,2.25,0,0,0,-,2,0.50,17,0,2,1,-1.5,49,18,16,53.1
