試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-14,日立リヴァーレ,1,,上坂瑠子,3,■,■,■,nan,nan,25,4,4,16.0,0.0,1.33,3,1,1,33.3,0,-,10,0,1,4,7.5,31,13,9,56.5,,,,,,,,
2020-11-14,日立リヴァーレ,2,,小野寺友香,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,3,,堀井有蘭,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,4,,窪田美侑,3,■,■,□,nan,nan,11,3,3,27.3,0.0,1.00,0,0,0,-,1,0.33,9,2,1,3,27.8,7,3,2,57.1,,,,,,,,
2020-11-14,日立リヴァーレ,5,,タップハンナ,3,■,■,■,nan,nan,12,5,0,41.7,41.7,1.67,0,0,0,-,0,-,6,0,1,3,8.3,2,1,1,75.0,,,,,,,,
2020-11-14,日立リヴァーレ,6,,芳賀舞波,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,7,,齋藤加奈子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,4,4,0,100.0,,,,,,,,
2020-11-14,日立リヴァーレ,10,L,小池杏菜,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,6,3,62.5,,,,,,,,
2020-11-14,日立リヴァーレ,11,,中村安里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,13,,長内美和子,3,■,■,■,nan,nan,37,10,2,27.0,21.6,3.33,2,1,1,50.0,1,0.33,7,1,3,2,10.7,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,14,,入澤まい,3,■,■,■,nan,nan,15,3,3,20.0,0.0,1.00,0,0,0,-,1,0.33,11,0,2,3,2.3,1,0,0,0.0,,,,,,,,
2020-11-14,日立リヴァーレ,18,,境紗里奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,19,,野中瑠衣,2,nan,□,■,nan,nan,12,6,2,50.0,33.3,3.00,1,0,0,0.0,0,-,4,0,1,1,0.0,8,3,3,56.2,,,,,,,,
2020-11-14,日立リヴァーレ,21,,雑賀恵斗,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,2,0.67,7,0,1,3,7.1,0,0,0,-,,,,,,,,
2020-11-14,日立リヴァーレ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,114,32,14,28.1,15.8,10.67,6,2,2,33.3,5,1.67,61,3,10,21,9.4,65,30,18,60.0,116,41,9,35.3,3,1.00,4.7,41.2
