試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-02-21,東レアローズ,NECレッドロケッツ,1,,向井久子,3,■,■,■,nan,nan,30,17,0,56.7,56.7,5.67,3,2,0,66.7,1,0.33,12,0,1,5,10.4,13,7,0,53.8,18
2004-02-21,東レアローズ,NECレッドロケッツ,2,,小玉佐知子,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,17,0,1,12,17.6,0,0,0,-,1
2004-02-21,東レアローズ,NECレッドロケッツ,4,,芝田安希,3,■,■,■,nan,nan,17,10,1,58.8,52.9,3.33,1,1,0,100.0,3,1.00,12,0,1,3,6.2,9,4,0,44.4,13
2004-02-21,東レアローズ,NECレッドロケッツ,5,,西脇万里子,1,nan,nan,□,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,1
2004-02-21,東レアローズ,NECレッドロケッツ,6,,アダムスモニーク,3,■,■,■,nan,nan,28,8,2,28.6,21.4,2.67,4,0,1,0.0,1,0.33,12,2,3,6,27.5,19,11,0,57.9,11
2004-02-21,東レアローズ,NECレッドロケッツ,7,,武田菜穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-02-21,東レアローズ,NECレッドロケッツ,8,,冨田寧寧,3,■,■,■,nan,nan,10,3,2,30.0,10.0,1.00,0,0,0,-,4,1.33,6,0,0,2,8.3,0,0,0,-,7
2004-02-21,東レアローズ,NECレッドロケッツ,9,,大槻めぐみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-02-21,東レアローズ,NECレッドロケッツ,12,,大山加奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-02-21,東レアローズ,NECレッドロケッツ,13,,荒木絵里香,3,■,■,■,nan,nan,9,5,1,55.6,44.4,1.67,0,0,0,-,1,0.33,14,1,1,7,18.2,2,1,0,50.0,7
2004-02-21,東レアローズ,NECレッドロケッツ,14,L,濱口華菜里,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,8,0,57.1,0
2004-02-21,東レアローズ,NECレッドロケッツ,15,,中道瞳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-02-21,東レアローズ,NECレッドロケッツ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,97,44,6,45.4,39.2,14.67,8,3,1,37.5,11,3.67,74,3,8,35,15.3,57,31,0,54.4,58
