試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-01-17,東レアローズ,茂原アルカス,3,2,1,1,,向井久子,5,■,■,■,■,■,18,8,1,44.4,38.9,1.60,1,0,0,0.0,1,0.20,17,0,0,2,2.9,23,19,0,82.6,9
2004-01-17,東レアローズ,茂原アルカス,3,2,1,2,,小玉佐知子,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,14,0,0,2,3.6,0,0,0,-,1
2004-01-17,東レアローズ,茂原アルカス,3,2,1,3,,五十川葉子,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100.0,0
2004-01-17,東レアローズ,茂原アルカス,3,2,1,4,,芝田安希,4,□,□,nan,□,□,1,0,0,0.0,0.0,-,0,0,0,-,1,0.25,0,0,0,0,-,0,0,0,-,1
2004-01-17,東レアローズ,茂原アルカス,3,2,1,5,,西脇万里子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-17,東レアローズ,茂原アルカス,3,2,1,6,,アダムスモニーク,5,■,■,■,■,■,46,20,2,43.5,39.1,4.00,1,1,0,100.0,2,0.40,19,1,2,5,10.8,25,20,0,80.0,23
2004-01-17,東レアローズ,茂原アルカス,3,2,1,7,,武田菜穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-01-17,東レアローズ,茂原アルカス,3,2,1,8,,冨田寧寧,5,■,■,■,■,■,22,7,2,31.8,22.7,1.40,0,0,0,-,2,0.40,14,0,0,3,5.4,0,0,0,-,9
2004-01-17,東レアローズ,茂原アルカス,3,2,1,12,,大山加奈,5,■,■,■,■,■,51,22,3,43.1,37.3,4.40,2,1,0,50.0,2,0.40,13,1,1,2,10.0,8,5,0,62.5,25
2004-01-17,東レアローズ,茂原アルカス,3,2,1,13,,荒木絵里香,5,■,■,■,■,■,11,9,0,81.8,81.8,1.80,0,0,0,-,3,0.60,21,1,1,2,6.2,1,1,0,100.0,13
2004-01-17,東レアローズ,茂原アルカス,3,2,1,14,L,濱口華菜里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,27,0,93.1,0
2004-01-17,東レアローズ,茂原アルカス,3,2,1,15,,中道瞳,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,0,0.0,0,0,0,-,0
2004-01-17,東レアローズ,茂原アルカス,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,149,66,8,44.3,38.9,13.20,4,2,0,50.0,12,2.40,103,3,4,16,6.2,88,74,0,84.1,81
