試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2004-12-26,東レアローズ,武富士バンブー,1,,向井久子,3,■,□,nan,□,nan,7,0,1,0.0,-14.3,-,0,0,0,-,0,-,2,0,0,1,12.5,2,1,0,50.0,0
2004-12-26,東レアローズ,武富士バンブー,2,,小玉佐知子,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,16,0,0,2,3.1,0,0,0,-,0
2004-12-26,東レアローズ,武富士バンブー,3,,五十川葉子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-26,東レアローズ,武富士バンブー,4,,芝田安希,4,nan,■,■,■,■,14,9,0,64.3,64.3,2.25,0,0,0,-,1,0.25,16,3,0,3,19.7,21,17,0,81.0,13
2004-12-26,東レアローズ,武富士バンブー,5,,西脇万里子,5,■,■,■,■,■,25,13,1,52.0,48.0,2.60,0,0,0,-,2,0.40,16,1,0,4,11.2,0,0,0,-,16
2004-12-26,東レアローズ,武富士バンブー,6,,アダムスモニーク,5,■,■,■,■,■,36,15,5,41.7,27.8,3.00,0,0,0,-,2,0.40,14,1,4,2,10.7,35,26,0,74.3,18
2004-12-26,東レアローズ,武富士バンブー,7,,武田菜穂子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-26,東レアローズ,武富士バンブー,12,,大山加奈,5,■,■,■,■,■,46,14,3,30.4,23.9,2.80,4,1,0,25.0,0,-,15,2,3,3,17.0,9,7,0,77.8,16
2004-12-26,東レアローズ,武富士バンブー,13,,荒木絵里香,5,■,■,■,■,■,25,9,4,36.0,20.0,1.80,0,0,0,-,3,0.60,18,0,2,5,6.9,0,0,0,-,12
2004-12-26,東レアローズ,武富士バンブー,14,L,濱口華菜里,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,21,0,72.4,0
2004-12-26,東レアローズ,武富士バンブー,15,,中道瞳,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-26,東レアローズ,武富士バンブー,16,,大山未希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2004-12-26,東レアローズ,武富士バンブー,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,153,60,14,39.2,30.1,12.00,4,1,0,25.0,8,1.60,97,7,9,20,11.3,96,72,0,75.0,75
