試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,1,,向井久子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,2,,芝田安希,4,■,■,■,■,nan,27,12,1,44.4,40.7,3.00,1,0,0,0.0,2,0.50,12,0,0,5,10.4,27,20,0,74.1,14,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,3,,西脇万里子,4,■,■,■,■,nan,19,10,2,52.6,42.1,2.50,0,0,0,-,1,0.25,12,0,2,3,6.2,0,0,0,-,11,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,4,,冨田寧寧,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,6,,荒木絵里香,4,■,■,■,■,nan,27,9,2,33.3,25.9,2.25,0,0,0,-,5,1.25,10,0,0,1,2.5,0,0,0,-,14,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,7,L,濱口華菜里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,10,0,90.9,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,8,,中道瞳,4,□,□,□,□,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,9,,大山未希,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,10,0,0,3,7.5,0,0,0,-,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,11,,木村沙織,4,■,■,■,■,nan,51,19,4,37.3,29.4,4.75,2,0,0,0.0,0,-,21,1,2,6,11.9,30,29,0,96.7,20,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,12,,佐藤美耶,4,■,■,■,■,nan,28,12,3,42.9,32.1,3.00,1,1,0,100.0,3,0.75,19,2,2,3,13.4,14,10,0,71.4,17,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,13,,高田ありさ,2,nan,□,nan,□,nan,4,2,0,50.0,50.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,2,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,14,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2007-01-20,東レアローズ,岡山シーガルズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,159,64,12,40.3,32.7,16.00,4,1,0,25.0,11,2.75,88,3,6,22,9.4,82,69,0,84.1,78,149,53,4,35.6,10,2.50,5.1,71.2
