試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2012-03-18,東レアローズ,デンソーエアリービーズ,1,,西脇万里子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,2,,荒木絵里香,4,■,■,■,■,nan,17,12,1,70.6,64.7,3.00,0,0,0,-,1,0.25,17,1,4,6,13.5,2,1,0,50.0,14
2012-03-18,東レアローズ,デンソーエアリービーズ,3,L,濱口華菜里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,9,0,52.9,0
2012-03-18,東レアローズ,デンソーエアリービーズ,4,,中道瞳,4,■,■,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,0,-,16,2,1,2,15.6,0,0,0,-,4
2012-03-18,東レアローズ,デンソーエアリービーズ,5,,木村沙織,4,■,■,■,■,nan,56,15,5,26.8,17.9,3.75,5,0,1,0.0,2,0.50,12,0,0,3,6.2,31,25,0,80.6,17
2012-03-18,東レアローズ,デンソーエアリービーズ,6,,高田ありさ,4,■,■,■,■,nan,26,8,1,30.8,26.9,2.00,1,0,0,0.0,0,-,16,0,1,6,9.4,34,19,0,55.9,8
2012-03-18,東レアローズ,デンソーエアリービーズ,7,,和田麻里江,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,8,,迫田さおり,4,■,■,■,■,nan,44,22,5,50.0,38.6,5.50,18,8,1,44.4,1,0.25,22,1,0,8,12.7,1,1,0,100.0,24
2012-03-18,東レアローズ,デンソーエアリービーズ,9,,宮田由佳里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,10,,小平花織,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,11,,峯村沙紀,2,□,nan,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,0.50,2,0,0,0,0.0,4,3,0,75.0,1
2012-03-18,東レアローズ,デンソーエアリービーズ,13,,田代佳奈美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,14,L,木村美里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2012-03-18,東レアローズ,デンソーエアリービーズ,16,,二見梓,4,■,■,■,■,nan,17,8,1,47.1,41.2,2.00,0,0,0,-,0,-,10,2,2,2,21.0,0,0,0,-,10
2012-03-18,東レアローズ,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,164,67,13,40.9,32.9,16.75,24,8,2,33.3,5,1.25,97,6,8,28,12.6,89,58,0,65.2,78
