試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-03-17,東レアローズ,デンソーエアリービーズ,1,,井上奈々朱,4,■,■,■,■,nan,21,10,1,47.6,42.9,2.50,1,0,0,0.0,1,0.25,9,1,2,2,11.1,0,0,0,-,12
2019-03-17,東レアローズ,デンソーエアリービーズ,2,,堀川真理,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,3,,大野果歩,3,■,■,■,nan,nan,12,4,0,33.3,33.3,1.33,1,0,0,0.0,0,-,4,0,0,1,6.2,0,0,0,-,4
2019-03-17,東レアローズ,デンソーエアリービーズ,4,,日高萌,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,6,,杉原若葉,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,7,,クランヤナ,4,■,■,■,■,nan,57,23,4,40.4,33.3,5.75,4,2,0,50.0,4,1.00,14,1,0,3,12.5,0,0,0,-,28
2019-03-17,東レアローズ,デンソーエアリービーズ,8,,白井美沙紀,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,9,,中田紫乃,4,■,■,■,■,nan,15,4,0,26.7,26.7,1.00,1,0,0,0.0,1,0.25,20,0,2,5,3.8,48,15,16,47.9,5
2019-03-17,東レアローズ,デンソーエアリービーズ,10,,石川真奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,11,L,中島未来,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-03-17,東レアローズ,デンソーエアリービーズ,12,,小川愛里奈,2,nan,nan,□,■,nan,9,4,0,44.4,44.4,2.00,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,4
2019-03-17,東レアローズ,デンソーエアリービーズ,13,,黒後愛,4,■,■,■,■,nan,47,18,2,38.3,34.0,4.50,5,0,1,0.0,1,0.25,16,2,2,2,12.5,19,8,8,63.2,21
2019-03-17,東レアローズ,デンソーエアリービーズ,14,,関菜々巳,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,2,0.50,20,2,0,10,22.5,0,0,0,-,4
2019-03-17,東レアローズ,デンソーエアリービーズ,15,L,水杉玲奈,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,8,4,2,62.5,0
2019-03-17,東レアローズ,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,161,63,7,39.1,34.8,15.75,12,2,1,16.7,9,2.25,96,6,6,27,11.7,75,27,26,53.3,78
