試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-03,1,,井上奈々朱,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-11-03,2,,堀川真理,4,■,■,■,■,nan,22,8,1,0.36363636363636365,0.3181818181818182,2.00,4,0,0,0.0,3,0.75,8,1,2,1,9.4,0,0,0,-
2019-11-03,3,,大野果歩,4,■,■,■,■,nan,13,8,0,0.6153846153846154,0.6153846153846154,2.00,0,0,0,-,1,0.25,14,2,0,2,17.9,0,0,0,-
2019-11-03,4,,日高萌,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-03,7,,KulanJana,3,nan,□,□,□,nan,12,4,2,0.3333333333333333,0.16666666666666666,1.33,0,0,0,-,1,0.33,2,1,0,1,62.5,0,0,0,-
2019-11-03,8,,白井美沙紀,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2019-11-03,9,,中田紫乃,3,nan,□,□,□,nan,2,2,0,1.0,1.0,0.67,0,0,0,-,0,-,6,0,0,1,4.2,10,2,3,35.0
2019-11-03,11,,中島未来,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,1,0.0,0,0,0,-
2019-11-03,12,,小川愛里奈,4,■,■,■,■,nan,14,7,0,0.5,0.5,1.75,0,0,0,-,0,-,8,0,0,3,9.4,0,0,0,-
2019-11-03,14,,関菜々巳,4,■,■,■,■,nan,3,1,0,0.3333333333333333,0.3333333333333333,0.25,0,0,0,-,0,-,7,0,1,1,0.0,0,0,0,-
2019-11-03,15,L,水杉玲奈,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,3,0,75.0
2019-11-03,17,,石川真佑,4,■,■,■,■,nan,42,17,2,0.40476190476190477,0.35714285714285715,4.25,2,1,0,50.0,1,0.25,14,3,4,5,23.2,33,20,6,69.7
2019-11-03,18,,野呂加南子,4,■,■,■,■,nan,22,8,1,0.36363636363636365,0.3181818181818182,2.00,0,0,0,-,0,-,22,2,2,8,15.9,14,6,4,57.1
2019-11-03,19,,大崎琴未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-03,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,130,55,6,0.4230769230769231,0.3769230769230769,13.75,6,1,0,16.7,6,1.50,90,9,10,24,13.9,61,31,13,61.5
