試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-31,東レアローズ,1,,井上奈々朱,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,2,,大野果歩,3,■,■,■,nan,nan,7,4,0,57.1,57.1,1.33,0,0,0,-,1,0.33,10,0,1,0,-2.5,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,4,,白井美沙紀,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,5,,中田紫乃,3,□,□,□,nan,nan,4,1,0,25.0,25.0,0.33,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,6,L,中島未来,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,7,,クランヤナ,3,■,■,■,nan,nan,36,14,2,38.9,33.3,4.67,4,0,0,0.0,2,0.67,8,0,3,1,-6.2,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,8,,小川愛里奈,3,■,■,■,nan,nan,7,4,1,57.1,42.9,1.33,0,0,0,-,0,-,8,0,0,3,9.4,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,9,,黒後愛,3,■,■,■,nan,nan,26,12,1,46.2,42.3,4.00,4,2,0,50.0,2,0.67,12,1,2,3,10.4,28,14,3,55.4,,,,,,,,
2021-01-31,東レアローズ,10,,関菜々巳,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,1,0.33,17,2,0,5,19.1,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,11,L,水杉玲奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,5,3,72.2,,,,,,,,
2021-01-31,東レアローズ,12,,石川真佑,3,■,■,■,nan,nan,35,14,2,40.0,34.3,4.67,3,0,1,0.0,1,0.33,10,1,5,3,5.0,24,9,4,45.8,,,,,,,,
2021-01-31,東レアローズ,13,,野呂加南子,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,14,,大崎琴未,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,15,,坂本侑,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-31,東レアローズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,116,50,6,43.1,37.9,16.67,11,2,1,18.2,7,2.33,75,4,12,17,7.0,61,28,10,54.1,136,38,9,27.9,6,2.00,12.1,59.7
