大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,東レアローズ,16,44,53,21,2,39.6,2,0,1,0.0,0.48,1,0.02,96,1,3,5,31,10.9,114,44,27,50.4,21,1,4,26
スターカンファレンス,東レアローズ,13,34,48,21,2,43.8,2,0,1,0.0,0.62,1,0.03,80,1,3,3,28,12.8,107,43,24,51.4,21,1,4,26
ファイナル８・Ａグループ,東レアローズ,3,10,5,0,0,0.0,0,0,0,-,-,0,-,16,0,0,2,3,1.6,7,1,3,35.7,0,0,0,0
V.LEAGUE DIVISION1 WOMEN 2018-19,東レアローズ,26,96,390,130,22,33.3,10,2,0,20.0,1.35,29,0.30,303,2,5,10,104,10.1,736,289,185,51.8,130,29,7,166
Western Conference,東レアローズ,7,27,113,40,5,35.4,1,1,0,100.0,1.48,5,0.19,74,0,2,2,31,12.5,235,96,59,53.4,40,5,2,47
交流戦,東レアローズ,6,22,96,30,7,31.2,5,0,0,0.0,1.36,9,0.41,71,1,0,3,26,9.5,165,62,40,49.7,30,9,1,40
ファイナル８,東レアローズ,7,28,107,37,6,34.6,4,1,0,25.0,1.32,8,0.29,110,1,2,3,35,10.0,212,88,48,52.8,37,8,3,48
ファイナル３,東レアローズ,3,10,39,15,2,38.5,0,0,0,-,1.50,5,0.50,28,0,1,1,7,8.9,59,27,15,58.5,15,5,1,21
ファイナル,東レアローズ,3,9,35,8,2,22.9,0,0,0,-,0.89,2,0.22,20,0,0,1,5,5.0,65,16,23,42.3,8,2,0,10
Ｖ・プレミアリーグ女子 2017/18,東レアローズ,20,53,5,0,0,0.0,0,0,0,-,-,0,-,81,1,5,12,37,15.1,4,0,1,12.5,0,0,6,6
レギュラーラウンド,東レアローズ,16,41,5,0,0,0.0,0,0,0,-,-,0,-,65,1,4,8,30,16.2,4,0,1,12.5,0,0,5,5
ファイナル６,東レアローズ,4,12,0,0,0,-,0,0,0,-,-,0,-,16,0,1,4,7,10.9,0,0,0,-,0,0,1,1
皇后杯全日本選手権大会,,1,1,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,1,0,0,0,-,0,0,0,-,-,0,-,1,0,0,0,0,0.0,0,0,0,-,0,0,0,0
Ｖ・プレミアリーグ女子 2016/17,東レアローズ,18,33,0,0,0,-,0,0,0,-,-,0,-,48,2,0,6,14,11.5,0,0,0,-,0,0,2,2
レギュラーラウンド,東レアローズ,13,22,0,0,0,-,0,0,0,-,-,0,-,30,0,0,5,10,8.3,0,0,0,-,0,0,0,0
ファイナル６,東レアローズ,5,11,0,0,0,-,0,0,0,-,-,0,-,18,2,0,1,4,16.7,0,0,0,-,0,0,2,2
レギュラーシーズン通算,,55,146,262,91,14,34.7,8,1,1,12.5,0.62,15,0.10,320,3,9,21,125,11.9,511,201,124,51.5,91,15,12,118
通算,,81,227,448,151,24,33.7,12,2,1,16.7,0.67,30,0.13,529,6,13,33,186,10.8,854,333,213,51.5,151,30,19,200
