大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,東レアローズ,24,50,168,68,10,40.5,0,0,0,-,1.36,8,0.16,160,2,2,6,34,6.9,5,2,1,50.0,68,8,4,80
スターカンファレンス,東レアローズ,15,40,133,55,7,41.4,0,0,0,-,1.38,6,0.15,123,1,1,6,25,5.5,4,1,1,37.5,55,6,2,63
交流戦,東レアローズ,6,8,34,13,3,38.2,0,0,0,-,1.62,2,0.25,32,0,1,0,9,10.2,1,1,0,100.0,13,2,1,16
ファイナル８・Ａグループ,東レアローズ,3,2,1,0,0,0.0,0,0,0,-,-,0,-,5,1,0,0,0,20.0,0,0,0,-,0,0,1,1
V.LEAGUE DIVISION1 WOMEN 2018-19,東レアローズ,32,70,252,98,13,38.9,1,0,0,0.0,1.40,17,0.24,224,1,9,8,66,10.9,5,1,0,20.0,98,17,10,125
Western Conference,東レアローズ,8,24,103,41,8,39.8,0,0,0,-,1.71,4,0.17,86,1,2,3,22,9.0,1,1,0,100.0,41,4,3,48
交流戦,東レアローズ,11,24,77,31,5,40.3,1,0,0,0.0,1.29,10,0.42,81,0,3,1,25,11.1,2,0,0,0.0,31,10,3,44
ファイナル８,東レアローズ,7,14,57,17,0,29.8,0,0,0,-,1.21,3,0.21,38,0,4,3,14,17.8,2,0,0,0.0,17,3,4,24
ファイナル３,東レアローズ,3,6,10,6,0,60.0,0,0,0,-,1.00,0,-,17,0,0,1,5,5.9,0,0,0,-,6,0,0,6
ファイナル,東レアローズ,3,2,5,3,0,60.0,0,0,0,-,1.50,0,-,2,0,0,0,0,0.0,0,0,0,-,3,0,0,3
Ｖ・プレミアリーグ女子 2017/18,東レアローズ,26,38,130,48,7,36.9,0,0,0,-,1.26,8,0.21,60,2,1,9,8,4.6,16,6,4,50.0,48,8,3,59
レギュラーラウンド,東レアローズ,21,20,65,24,4,36.9,0,0,0,-,1.20,3,0.15,30,1,0,8,2,-1.7,7,3,2,57.1,24,3,1,28
ファイナル６,東レアローズ,5,18,65,24,3,36.9,0,0,0,-,1.33,5,0.28,30,1,1,1,6,10.8,9,3,2,44.4,24,5,2,31
皇后杯全日本選手権大会,,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーラウンド,,1,0,0,0,0,-,0,0,0,-,-,0,-,0,0,0,0,0,-,0,0,0,-,0,0,0,0
レギュラーシーズン通算,,61,116,412,164,27,39.8,1,0,0,0.0,1.41,25,0.22,352,3,7,18,83,7.5,15,6,3,50.0,164,25,10,199
通算,,83,158,550,214,30,38.9,1,0,0,0.0,1.35,33,0.21,444,5,12,23,108,8.6,26,9,5,44.2,214,33,17,264
