試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,0,,佐々木みき,3,■,■,■,nan,nan,36,15,2,41.7,36.1,5.00,2,1,0,50.0,0,-,8,0,1,2,6.2,2,0,0,0.0,15,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,1,,永富有紀,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,13,1,0,4,15.4,0,0,0,-,2,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,2,,吉原知子,3,■,■,■,nan,nan,24,13,1,54.2,50.0,4.33,0,0,0,-,7,2.33,16,1,0,5,12.8,12,7,0,58.3,21,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,3,,森山淳子,3,■,■,■,nan,nan,10,4,1,40.0,30.0,1.33,0,0,0,-,3,1.00,14,0,0,7,12.5,15,13,0,86.7,7,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,7,,小田幸,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,8,,佐藤和美,3,■,■,■,nan,nan,16,7,0,43.8,43.8,2.33,0,0,0,-,0,-,10,0,0,2,5.0,0,0,0,-,7,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,10,,萩原美代子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,11,,西村佳名子,3,■,■,■,nan,nan,13,5,1,38.5,30.8,1.67,0,0,0,-,0,-,11,2,1,3,21.4,24,14,0,58.3,7,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,14,L,田口久美子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,3,0,60.0,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,15,,森富明日香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,19,,小川絵梨佳,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,20,,宇都宮末希子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2001-02-17,東洋紡オーキス,日立ベルフィーユ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,99,44,5,44.4,39.4,14.67,2,1,0,50.0,11,3.67,74,4,2,24,12.7,58,37,0,63.8,59,103,39,12,37.9,7,2.33,13.5,62.0
