試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-26,東洋紡オーキス,久光製薬スプリングス,1,,吉原知子,4,■,■,■,■,nan,22,6,2,27.3,18.2,1.50,0,0,0,-,4,1.00,18,1,1,3,9.7,16,13,0,81.2,11
2002-01-26,東洋紡オーキス,久光製薬スプリングス,2,,江藤直美,4,■,■,■,■,nan,21,11,1,52.4,47.6,2.75,0,0,0,-,4,1.00,6,0,0,0,0.0,1,0,0,0.0,15
2002-01-26,東洋紡オーキス,久光製薬スプリングス,3,,森山淳子,4,■,■,■,■,nan,33,16,2,48.5,42.4,4.00,0,0,0,-,0,-,13,0,1,2,3.8,14,12,0,85.7,16
2002-01-26,東洋紡オーキス,久光製薬スプリングス,5,,島崎みゆき,4,■,■,■,■,nan,6,1,0,16.7,16.7,0.25,0,0,0,-,0,-,11,0,0,0,0.0,0,0,0,-,1
2002-01-26,東洋紡オーキス,久光製薬スプリングス,10,,萩原美代子,4,■,■,■,■,nan,34,13,0,38.2,38.2,3.25,0,0,0,-,1,0.25,17,1,1,5,12.1,2,1,0,50.0,15
2002-01-26,東洋紡オーキス,久光製薬スプリングス,11,,西村佳名子,4,■,■,■,■,nan,27,11,2,40.7,33.3,2.75,0,0,0,-,0,-,17,1,0,2,7.6,18,17,0,94.4,12
2002-01-26,東洋紡オーキス,久光製薬スプリングス,12,L,松永亜希子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,21,0,77.8,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,17,,西脇万里子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,18,,松尾留比子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,19,,小川絵梨佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,20,,宇都宮末希子,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,21,,中村夕紀美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,0,0.0,7,6,0,85.7,0
2002-01-26,東洋紡オーキス,久光製薬スプリングス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,143,58,7,40.6,35.7,14.50,0,0,0,-,9,2.25,88,3,4,12,6.4,85,70,0,82.4,70
