試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-01-12,武富士バンブー,パイオニアレッドウィングス,1,,小谷弘美,3,□,□,■,nan,nan,4,1,0,25.0,25.0,0.33,0,0,0,-,1,0.33,4,0,0,0,0.0,0,0,0,-,2
2002-01-12,武富士バンブー,パイオニアレッドウィングス,2,,山下祐美子,3,■,■,■,nan,nan,29,10,2,34.5,27.6,3.33,4,1,0,25.0,1,0.33,8,1,1,1,13.1,21,12,0,57.1,12
2002-01-12,武富士バンブー,パイオニアレッドウィングス,3,L,和久山志恵里,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,7,0,70.0,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,5,,足立留美,3,■,■,■,nan,nan,22,7,4,31.8,13.6,2.33,2,0,0,0.0,0,-,8,0,1,1,3.1,9,6,0,66.7,7
2002-01-12,武富士バンブー,パイオニアレッドウィングス,6,,佐々木雅子,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,7,,川原恵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,8,,田巻由貴子,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,10,,金田智子,3,■,■,■,nan,nan,21,9,2,42.9,33.3,3.00,2,2,0,100.0,0,-,9,0,2,2,5.6,11,7,0,63.6,9
2002-01-12,武富士バンブー,パイオニアレッドウィングス,11,,内藤香菜子,2,■,■,nan,nan,nan,4,0,0,0.0,0.0,-,0,0,0,-,1,0.50,4,0,0,2,12.5,0,0,0,-,1
2002-01-12,武富士バンブー,パイオニアレッドウィングス,12,,岸早苗,1,nan,nan,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,13,,伊地知麻貴,2,■,■,nan,nan,nan,3,0,1,0.0,-33.3,-,0,0,0,-,0,-,2,0,0,2,25.0,0,0,0,-,0
2002-01-12,武富士バンブー,パイオニアレッドウィングス,14,,鈴木洋美,3,■,■,■,nan,nan,17,6,0,35.3,35.3,2.00,0,0,0,-,0,-,8,0,0,2,6.2,14,9,0,64.3,6
2002-01-12,武富士バンブー,パイオニアレッドウィングス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,102,33,9,32.4,23.5,11.00,8,3,0,37.5,3,1.00,50,1,4,12,7.6,68,42,0,61.8,37
