試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,1,,小谷弘美,3,■,■,■,nan,nan,20,12,1,60.0,55.0,4.00,0,0,0,-,0,-,16,0,1,2,3.1,0,0,0,-,12
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,2,,山下祐美子,3,■,■,■,nan,nan,23,9,0,39.1,39.1,3.00,1,0,0,0.0,1,0.33,4,0,0,0,0.0,14,10,0,71.4,10
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,4,,三澤由佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,5,,足立留美,3,■,■,■,nan,nan,24,8,1,33.3,29.2,2.67,0,0,0,-,2,0.67,17,0,1,5,7.4,1,0,0,0.0,10
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,6,,佐々木雅子,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,8,L,田巻由貴子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,14,0,77.8,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,10,,金田智子,3,■,■,■,nan,nan,26,13,1,50.0,46.2,4.33,3,3,0,100.0,0,-,11,0,2,1,2.3,15,12,0,80.0,13
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,11,,内藤香菜子,3,□,□,□,nan,nan,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,12,,岸早苗,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,3,12.5,0,0,0,-,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,13,,伊地知麻貴,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,8,0,1,1,3.1,1,0,0,0.0,1
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,14,,鈴木洋美,3,■,■,■,nan,nan,23,10,1,43.5,39.1,3.33,0,0,0,-,3,1.00,11,0,0,2,4.5,13,12,0,92.3,13
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,18,,吉澤智恵,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2002-02-10,武富士バンブー,NECレッドロケッツ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,117,52,5,44.4,40.2,17.33,4,3,0,75.0,7,2.33,73,0,5,14,4.8,62,48,0,77.4,59
