試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2007-04-15,武富士バンブー,パイオニアレッドウィングス,0,,吉澤智恵,4,■,■,■,■,nan,40,17,2,42.5,37.5,4.25,5,3,1,60.0,1,0.25,16,2,1,7,20.9,32,17,0,53.1,20
2007-04-15,武富士バンブー,パイオニアレッドウィングス,3,,エステスイェヴゲーニャ,4,■,■,■,■,nan,57,18,4,31.6,24.6,4.50,13,2,2,15.4,1,0.25,13,0,0,8,15.4,13,8,0,61.5,19
2007-04-15,武富士バンブー,パイオニアレッドウィングス,5,,足立留美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,1,0,2,32.5,0,0,0,-,1
2007-04-15,武富士バンブー,パイオニアレッドウィングス,7,,内藤香菜子,4,■,■,■,■,nan,17,10,0,58.8,58.8,2.50,0,0,0,-,1,0.25,11,1,2,2,13.6,2,0,0,0.0,12
2007-04-15,武富士バンブー,パイオニアレッドウィングス,8,,五十川葉子,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,10,,井村仁美,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,2,6,12.5,0,0,0,-,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,12,,伊豫谷瞳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,13,,田向友美,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,0,0.0,0,0,0,-,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,14,,三澤由佳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,20,,石川友紀,4,■,■,■,■,nan,11,5,0,45.5,45.5,1.25,0,0,0,-,1,0.25,13,1,0,7,19.6,1,0,0,0.0,7
2007-04-15,武富士バンブー,パイオニアレッドウィングス,22,,石田瑞穂,4,■,■,■,■,nan,27,10,4,37.0,22.2,2.50,4,1,0,25.0,1,0.25,17,0,1,7,10.3,24,13,0,54.2,11
2007-04-15,武富士バンブー,パイオニアレッドウィングス,33,L,和久山志恵里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,9,0,56.2,0
2007-04-15,武富士バンブー,パイオニアレッドウィングス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,153,60,10,39.2,32.7,15.00,22,6,3,27.3,5,1.25,91,5,7,39,15.3,88,47,0,53.4,70
