試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,1,,吉澤智恵,3,■,■,■,nan,nan,22,8,2,36.4,27.3,2.67,0,0,0,-,1,0.33,9,0,0,3,8.3,12,8,0,66.7,9,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,2,,金子美里,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,3,,澤畠文子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,4,,鶴田桂子,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,16,0,0,2,3.1,1,0,0,0.0,1,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,5,,足立留美,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,0,3,12.5,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,6,,池浦文香,3,□,□,□,nan,nan,7,5,0,71.4,71.4,1.67,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100.0,5,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,7,,内藤香菜子,3,■,■,■,nan,nan,14,10,0,71.4,71.4,3.33,0,0,0,-,3,1.00,6,1,0,0,13.3,0,0,0,-,14,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,8,,石川友紀,3,■,■,■,nan,nan,15,6,1,40.0,33.3,2.00,0,0,0,-,2,0.67,12,0,0,0,0.0,0,0,0,-,8,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,10,L,今村直美,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,8,0,53.3,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,11,,平井真栄,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,12,,服部安佑香,3,■,■,■,nan,nan,9,3,1,33.3,22.2,1.00,0,0,0,-,1,0.33,8,0,0,4,12.5,8,5,0,62.5,4,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,13,L,田向友美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,18,,砂田遥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,22,,石田瑞穂,3,■,■,■,nan,nan,28,15,0,53.6,53.6,5.00,7,4,0,57.1,1,0.33,13,0,2,3,5.8,18,13,0,72.2,16,,,,,,,,
2008-11-01,武富士バンブー,トヨタ車体クインシーズ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,95,47,4,49.5,45.3,15.67,7,4,0,57.1,9,3.00,73,1,2,16,6.6,56,36,0,64.3,57,111,50,10,45.0,3,1.00,8.1,76.1
