試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,2,,橋口かおり,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,3,L,福田優,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,18,0,85.7,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,4,,東山由香,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,0,0.0,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,5,,狩野美雪,5,■,■,■,■,■,45,17,2,37.8,33.3,3.40,0,0,0,-,0,-,15,2,0,3,15.7,32,25,0,78.1,19,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,6,,角田真由美,5,■,■,■,■,■,24,11,2,45.8,37.5,2.20,0,0,0,-,0,-,8,1,0,0,10.0,1,1,0,100.0,12,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,7,,田中弓貴,5,■,■,■,■,■,25,10,2,40.0,32.0,2.00,0,0,0,-,1,0.20,16,0,3,5,7.8,5,5,0,100.0,11,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,8,,船崎恵視,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,20,0,1,7,8.8,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,9,,田口恵,5,■,■,■,■,■,40,15,2,37.5,32.5,3.00,0,0,0,-,2,0.40,11,0,0,5,11.4,2,2,0,100.0,17,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,11,,西村佳名子,5,■,■,■,■,■,36,9,5,25.0,11.1,1.80,0,0,0,-,0,-,14,0,2,1,1.8,35,28,0,80.0,9,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,12,,秋山葵,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,13,,田辺友紀,1,nan,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,14,,井西彩乃,1,nan,nan,nan,nan,□,2,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0,,,,,,,,
2005-12-25,茂原アルカス,NECレッドロケッツ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,174,62,13,35.6,28.2,12.40,0,0,0,-,3,0.60,94,3,7,22,8.4,96,79,0,82.3,68,157,69,8,43.9,19,3.80,4.8,71.3
