名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率
ルナカルロス,東京ヴェルディ,16,59,420,216,34,51.4,43.3,58,27,7,26,243,6,37,60,454,316,0,46.6,3.7,0.4,4.8
三上圭治郎,つくばユナイテッドSunGAIA,8,64,520,219,69,42.1,28.8,100,33,19,26,243,10,43,80,352,268,0,33.0,3.4,0.4,7.9
上場雄也,東京ヴェルディ,20,22,22,6,2,27.3,18.2,8,1,1,1,25,3,5,7,0,0,0,12.5,0.3,0.0,14.0
上西園宏和,警視庁フォートファイターズ,18,12,7,3,1,42.9,28.6,1,0,0,1,6,0,3,1,0,0,0,0.0,0.2,0.1,-8.3
上道映人,トヨタ自動車サンホークス,13,51,359,156,46,43.5,30.6,27,10,5,4,171,15,66,46,21,12,0,37.0,3.1,0.1,5.8
上野和也,大同特殊鋼レッドスター,12,20,137,77,13,56.2,46.7,16,7,3,4,60,1,18,11,10,5,0,43.8,3.8,0.2,-1.2
下田健一,警視庁フォートファイターズ,11,50,326,157,33,48.2,38.0,54,28,5,6,187,3,30,61,160,90,0,51.9,3.1,0.1,5.7
中本貴志,警視庁フォートファイターズ,13,21,30,14,2,46.7,40.0,0,0,0,2,24,1,4,8,91,53,0,,0.7,0.1,8.3
中村有壮,富士通カワサキレッドスピリッツ,13,61,0,0,0,,,0,0,0,0,0,0,0,0,434,275,0,,0.0,0.0,
中田亮二,近畿クラブスフィーダ,20,40,135,52,7,38.5,33.3,0,0,0,6,120,0,6,19,361,212,0,,1.3,0.2,2.7
中田学,東京ヴェルディ,19,51,249,122,29,49.0,37.3,47,23,6,18,174,6,30,43,34,18,0,48.9,2.4,0.4,5.3
中谷宏大,FC東京,15,38,0,0,0,,,0,0,0,0,0,0,0,0,281,207,0,,0.0,0.0,
丸山祥二,つくばユナイテッドSunGAIA,7,54,223,135,8,60.5,57.0,0,0,0,40,195,3,11,66,16,14,0,,2.5,0.7,8.6
亀田圭司,大同特殊鋼レッドスター,13,35,0,0,0,,,0,0,0,0,51,0,4,15,2,1,0,,0.0,0.0,5.4
井上圭,FC東京,10,21,0,0,0,,,0,0,0,0,32,1,8,11,0,0,0,,0.0,0.0,5.5
今一騎,富士通カワサキレッドスピリッツ,5,50,405,165,49,40.7,28.6,150,55,30,16,150,8,30,40,2,1,0,36.7,3.3,0.3,7.0
伊東克明,FC東京,9,55,293,153,23,52.2,44.4,22,12,4,13,212,7,23,63,235,187,0,54.5,2.8,0.2,8.0
佐々木邦雄,トヨタ自動車サンホークス,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
余座太一郎,警視庁フォートファイターズ,3,55,160,79,5,49.4,46.2,0,0,0,29,187,3,3,34,25,14,0,,1.4,0.5,5.7
倉内哲,東京ヴェルディ,15,17,41,20,1,48.8,46.3,0,0,0,15,41,0,1,4,0,0,0,,1.2,0.9,1.8
倉田真,大同特殊鋼レッドスター,4,41,285,114,30,40.0,29.5,35,12,3,14,139,5,28,45,45,27,0,34.3,2.8,0.3,6.7
児島啓吾,大同特殊鋼レッドスター,5,9,19,7,3,36.8,21.1,0,0,0,2,17,0,1,1,0,0,0,,0.8,0.2,0.0
其原健太,ジェイテクトSTINGS,11,21,89,36,5,40.4,34.8,3,2,1,0,48,2,7,14,77,48,0,66.7,1.7,0.0,7.8
前田直也,東京ヴェルディ,9,2,0,0,0,,,0,0,0,0,4,0,0,0,0,0,0,,0.0,0.0,0.0
前田裕幸,トヨタ自動車サンホークス,4,21,7,4,0,57.1,57.1,0,0,0,0,31,1,1,3,30,16,0,,0.2,0.0,4.8
加賀龍哉,FC東京,14,56,193,107,10,55.4,50.3,3,0,0,47,219,5,29,43,14,11,0,0.0,1.9,0.8,3.9
勝田祥平,富士通カワサキレッドスピリッツ,7,58,430,175,50,40.7,29.1,47,16,5,26,176,3,18,40,330,220,0,34.0,3.0,0.4,4.8
反田光男,ジェイテクトSTINGS,6,24,114,41,13,36.0,24.6,40,17,5,13,68,3,9,26,1,0,0,42.5,1.7,0.5,10.7
吉田成伸,FC東京,2,41,0,0,0,,,0,0,0,0,62,4,18,15,0,0,0,,0.0,0.0,5.2
吉田敬一郎,東京ヴェルディ,25,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
吉田真士,近畿クラブスフィーダ,7,9,27,10,1,37.0,33.3,0,0,0,0,34,2,8,12,20,15,0,,1.1,0.0,8.8
吉田雄一,ジェイテクトSTINGS,8,59,193,107,15,55.4,47.7,0,0,0,46,163,0,9,29,3,3,0,,1.8,0.8,3.1
吉野淳,東京ヴェルディ,2,32,0,0,0,,,0,0,0,0,46,1,5,14,0,0,0,,0.0,0.0,7.1
呉屋宏和,富士通カワサキレッドスピリッツ,16,30,103,39,13,37.9,25.2,36,11,5,3,77,2,21,22,9,5,0,30.6,1.3,0.1,2.9
和井田剛史,東京ヴェルディ,21,2,0,0,0,,,0,0,0,0,4,1,1,1,0,0,0,,0.0,0.0,25.0
堀江直伸,近畿クラブスフィーダ,18,21,50,13,3,26.0,20.0,2,0,0,1,46,2,5,11,90,47,0,0.0,0.6,0.0,7.6
堀江賢司,警視庁フォートファイターズ,15,55,478,210,40,43.9,35.6,127,48,13,14,197,1,8,61,1,0,0,37.8,3.8,0.3,7.2
塚田尚久,大同特殊鋼レッドスター,1,6,0,0,0,,,0,0,0,0,8,0,0,3,0,0,0,,0.0,0.0,9.4
塩大地,近畿クラブスフィーダ,12,32,166,89,9,53.6,48.2,1,0,0,28,83,1,5,9,11,6,0,0.0,2.8,0.9,2.4
増元真二,富士通カワサキレッドスピリッツ,10,30,50,18,10,36.0,16.0,5,0,3,1,47,0,3,19,28,19,0,0.0,0.6,0.0,8.5
増村雅尚,つくばユナイテッドSunGAIA,1,35,139,54,8,38.8,33.1,34,9,3,6,88,1,12,20,32,20,0,26.5,1.5,0.2,3.4
大久保元晴,つくばユナイテッドSunGAIA,3,36,31,16,1,51.6,48.4,0,0,0,7,84,0,3,9,2,0,0,,0.4,0.2,1.8
大川剛,警視庁フォートファイターズ,12,21,69,32,8,46.4,34.8,5,2,1,1,57,3,8,19,100,58,0,40.0,1.5,0.0,10.1
大庭健裕,FC東京,8,57,189,120,9,63.5,58.7,0,0,0,37,128,0,5,23,3,2,0,,2.1,0.6,3.5
大野史成,つくばユナイテッドSunGAIA,14,31,0,0,0,,,0,0,0,0,54,2,3,18,6,5,0,,0.0,0.0,10.6
大野晃義,トヨタ自動車サンホークス,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,
奥平翔悟,大同特殊鋼レッドスター,3,58,47,18,3,38.3,31.9,0,0,0,13,185,2,26,43,3,0,0,,0.3,0.2,3.4
奥村周平,近畿クラブスフィーダ,23,12,0,0,0,,,0,0,0,0,14,0,2,3,29,17,0,,0.0,0.0,1.8
奥田晃,東京ヴェルディ,12,59,32,13,4,40.6,28.1,2,0,1,20,172,2,7,24,3,1,0,0.0,0.2,0.3,3.6
寺嶋大樹,ジェイテクトSTINGS,7,4,2,0,1,0.0,-50.0,0,0,0,1,2,0,0,1,0,0,0,,0.0,0.2,12.5
小口創一郎,富士通カワサキレッドスピリッツ,3,8,2,2,0,100.0,100.0,2,2,0,0,10,0,5,3,0,0,0,100.0,0.2,0.0,-5.0
小山博志,トヨタ自動車サンホークス,8,53,580,251,94,43.3,27.1,180,69,40,14,173,4,26,50,42,20,0,38.3,4.7,0.3,5.8
小山純志,トヨタ自動車サンホークス,9,53,285,122,44,42.8,27.4,1,0,0,9,180,7,28,60,409,289,0,0.0,2.3,0.2,8.3
小川将司,つくばユナイテッドSunGAIA,4,20,95,42,13,44.2,30.5,40,20,4,4,42,3,11,5,2,2,0,50.0,2.1,0.2,3.6
小松高則,東京ヴェルディ,3,52,120,65,7,54.2,48.3,0,0,0,40,163,6,12,51,2,2,0,,1.2,0.8,9.7
小林雅也,大同特殊鋼レッドスター,15,58,134,69,9,51.5,44.8,0,0,0,27,188,3,15,46,4,2,0,,1.2,0.5,5.7
小野孝宏,ジェイテクトSTINGS,3,6,4,0,2,0.0,-50.0,0,0,0,0,2,0,2,0,8,4,0,,0.0,0.0,-25.0
属昌弘,富士通カワサキレッドスピリッツ,8,21,0,0,0,,,0,0,0,0,28,0,6,10,0,0,0,,0.0,0.0,3.6
山内隆宏,FC東京,6,57,22,8,1,36.4,31.8,0,0,0,18,226,6,4,64,6,2,0,,0.1,0.3,9.3
山口豊,近畿クラブスフィーダ,9,18,11,2,2,18.2,0.0,0,0,0,2,24,0,3,3,36,19,0,,0.1,0.1,0.0
山本雄史,FC東京,18,24,7,4,2,57.1,28.6,0,0,0,0,3,0,0,1,1,1,0,,0.2,0.0,8.3
岡西航佑,近畿クラブスフィーダ,24,14,0,0,0,,,0,0,0,0,25,0,4,7,0,0,0,,0.0,0.0,3.0
岩下剣士,トヨタ自動車サンホークス,6,50,128,49,5,38.3,34.4,0,0,0,24,152,2,5,29,11,10,0,,1.0,0.5,5.3
岩井浩二,富士通カワサキレッドスピリッツ,14,61,407,194,31,47.7,40.0,27,7,3,17,286,13,37,75,380,244,0,25.9,3.2,0.3,7.9
岩知道呂夫,警視庁フォートファイターズ,10,6,1,1,0,100.0,100.0,0,0,0,2,13,0,3,5,0,0,0,,0.2,0.3,3.8
岩谷徹也,トヨタ自動車サンホークス,7,53,10,2,3,20.0,-10.0,2,0,2,12,180,3,2,45,5,1,0,0.0,0.0,0.2,7.6
川合一滋,大同特殊鋼レッドスター,16,33,0,0,0,,,0,0,0,0,0,0,0,0,290,197,0,,0.0,0.0,
川越裕康,近畿クラブスフィーダ,11,44,96,44,8,45.8,37.5,0,0,0,7,108,2,22,13,6,4,0,,1.0,0.2,-0.2
川野喜平,大同特殊鋼レッドスター,10,4,0,0,0,,,0,0,0,0,5,0,3,1,0,0,0,,0.0,0.0,-10.0
平井銀次,大同特殊鋼レッドスター,11,47,0,0,0,,,0,0,0,0,31,2,2,16,231,153,0,,0.0,0.0,17.7
平澤徹,富士通カワサキレッドスピリッツ,9,61,247,143,15,57.9,51.8,0,0,0,42,219,5,18,69,18,15,0,,2.3,0.7,8.1
幸田英知,警視庁フォートファイターズ,21,55,20,11,1,55.0,50.0,0,0,0,5,34,2,3,8,396,286,0,,0.2,0.1,9.6
