試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-16,1,,岡本侑,3,■,■,■,,,12,7,1,0.5833333333333334,0.5,2.33,1,1,0,100.0,0,-,10,1,0,2,15.0,13,10,1,80.8
2020-02-16,2,,尾松航洋,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2020-02-16,3,L,長濱裕,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,4,4,50.0
2020-02-16,5,,大賀惠介,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,0,2,25.0
2020-02-16,6,,庄司練,3,■,■,■,,,12,9,0,0.75,0.75,3.00,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-
2020-02-16,7,,田畑翔伍,1,,,□,,,2,0,1,0.0,-0.5,-,0,0,0,-,0,-,1,0,0,0,0.0,1,0,0,0.0
2020-02-16,8,,繁田康平,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,9,,内園徹,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,11,2,0,4,27.3,4,1,2,50.0
2020-02-16,11,,毛利光生,3,■,■,■,,,3,0,0,0.0,0.0,-,0,0,0,-,3,1.00,7,0,1,1,0.0,0,0,0,-
2020-02-16,12,,新谷俊揮,3,■,■,■,,,9,5,1,0.5555555555555556,0.4444444444444444,1.67,0,0,0,-,0,-,12,3,0,3,31.2,16,6,3,46.9
2020-02-16,13,,平田英貴,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,16,,山本寛生,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,17,,和治裕太,3,■,■,■,,,11,8,1,0.7272727272727273,0.6363636363636364,2.67,0,0,0,-,1,0.33,12,0,4,6,4.2,0,0,0,-
2020-02-16,21,,小林空,3,■,■,■,,,23,10,3,0.43478260869565216,0.30434782608695654,3.33,5,3,0,60.0,2,0.67,13,0,3,7,7.7,0,0,0,-
2020-02-16,チーム合計,チーム合計,チーム合計,3,,,,,,72,39,7,0.5416666666666666,0.4444444444444444,13.00,6,4,0,66.7,6,2.00,73,6,8,25,14.0,50,21,12,54.0
