大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,きんでんトリニティーブリッツ,16,58,0,0,0,-,0,0,0,-,-,0,-,110,2,5,16,28,9.1,41,14,11,47.6,0,0,7,7
レギュラーラウンド,きんでんトリニティーブリッツ,16,58,0,0,0,-,0,0,0,-,-,0,-,110,2,5,16,28,9.1,41,14,11,47.6,0,0,7,7
V.LEAGUE DIVISION2 MEN 2018-19,きんでんトリニティーブリッツ,24,66,0,0,0,-,0,0,0,-,-,0,-,90,0,1,22,23,1.4,17,10,3,67.6,0,0,1,1
レギュラーラウンド,きんでんトリニティーブリッツ,24,66,0,0,0,-,0,0,0,-,-,0,-,90,0,1,22,23,1.4,17,10,3,67.6,0,0,1,1
Ｖ・チャレンジリーグⅡ男子 2017/18,きんでんトリニティーブリッツ,18,53,0,0,0,-,0,0,0,-,-,0,-,79,2,2,14,19,6.6,17,9,4,64.7,0,0,4,4
レギュラーラウンド,きんでんトリニティーブリッツ,18,53,0,0,0,-,0,0,0,-,-,0,-,79,2,2,14,19,6.6,17,9,4,64.7,0,0,4,4
Ｖ・チャレンジリーグⅡ男子 2016/17,きんでんトリニティーブリッツ,21,53,0,0,0,-,0,0,0,-,-,0,-,94,7,7,17,27,20.6,19,16,0,84.2,0,0,14,14
レギュラーラウンド,きんでんトリニティーブリッツ,21,53,0,0,0,-,0,0,0,-,-,0,-,94,7,7,17,27,20.6,19,16,0,84.2,0,0,14,14
チャレンジリーグ入替戦男子2016/17,,2,6,0,0,0,-,0,0,0,-,-,0,-,9,0,1,3,1,11.7,2,1,0,50.0,0,0,1,1
チャレンジマッチ,,2,6,0,0,0,-,0,0,0,-,-,0,-,9,0,1,3,1,11.7,2,1,0,50.0,0,0,1,1
Ｖ・チャレンジリーグⅡ男子 2015/16,きんでんトリニティーブリッツ,18,41,0,0,0,-,0,0,0,-,-,0,-,58,1,0,9,26,12.9,15,10,0,66.7,0,0,1,1
レギュラーラウンド,きんでんトリニティーブリッツ,18,41,0,0,0,-,0,0,0,-,-,0,-,58,1,0,9,26,12.9,15,10,0,66.7,0,0,1,1
Ｖ・チャレンジリーグ男子 2014/15,きんでんトリニティーブリッツ,22,56,0,0,0,-,0,0,0,-,-,0,-,73,3,2,19,16,11.8,1,1,0,100.0,0,0,5,5
レギュラーラウンド,きんでんトリニティーブリッツ,22,56,0,0,0,-,0,0,0,-,-,0,-,73,3,2,19,16,11.8,1,1,0,100.0,0,0,5,5
Ｖ・チャレンジリーグ男子 2013/14,きんでんトリニティーブリッツ,8,20,0,0,0,-,0,0,0,-,-,0,-,45,2,2,4,13,15.2,18,11,0,61.1,0,0,4,4
レギュラーラウンド,きんでんトリニティーブリッツ,8,20,0,0,0,-,0,0,0,-,-,0,-,45,2,2,4,13,15.2,18,11,0,61.1,0,0,4,4
レギュラーシーズン通算,,127,347,0,0,0,-,0,0,0,-,-,0,-,549,17,19,101,152,8.9,128,71,18,62.5,0,0,36,36
通算,,129,353,0,0,0,-,0,0,0,-,-,0,-,558,17,20,104,153,8.8,130,72,18,62.3,0,0,37,37
