試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-17,2,,浜崎勇矢,2,■,■,,,,0,0,0,,,-,0,0,0,-,0,-,6,0,2,1,-4.2,0,0,0,-
2019-11-17,3,,奥村航,3,■,■,■,,,16,12,0,0.75,0.75,4.00,0,0,0,-,1,0.33,8,1,5,0,-3.1,1,1,0,100.0
2019-11-17,5,,廣瀬優希,3,■,■,■,,,13,7,0,0.5384615384615384,0.5384615384615384,2.33,0,0,0,-,0,-,10,0,1,5,10.0,0,0,0,-
2019-11-17,6,,瀧澤陽紀,3,■,■,■,,,7,1,2,0.14285714285714285,-0.14285714285714285,0.33,0,0,0,-,0,-,11,1,4,1,2.3,17,9,3,61.8
2019-11-17,8,,曹海倫,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,9,,小針幸,3,■,■,■,,,21,8,4,0.38095238095238093,0.19047619047619047,2.67,0,0,0,-,0,-,9,0,0,1,2.8,24,10,3,47.9
2019-11-17,11,,須藤優,1,,,■,,,0,0,0,,,-,0,0,0,-,0,-,8,1,1,2,15.6,0,0,0,-
2019-11-17,15,L,野島透,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,5,8,60.0
2019-11-17,17,L,桝谷周呈,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,19,,内海聡太,3,□,□,□,,,3,1,1,0.3333333333333333,0.0,0.33,0,0,0,-,1,0.33,0,0,0,0,-,2,1,0,50.0
2019-11-17,21,,佐藤隼一,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2019-11-17,22,,関谷拓巳,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,1,2,40.0
2019-11-17,25,,高橋呼暖,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,26,,鈴木匡教,3,■,■,■,,,22,13,2,0.5909090909090909,0.5,4.33,8,3,1,37.5,0,-,10,1,2,2,10.0,0,0,0,-
2019-11-17,チーム合計,チーム合計,チーム合計,3,,,,,,82,42,9,0.5121951219512195,0.4024390243902439,14.00,8,3,1,37.5,2,0.67,64,4,15,13,5.5,64,27,16,54.7
