試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-23,つくばユナイテッドSunGAIA,1,,上場雄也,3,■,■,■,nan,nan,14,6,2,42.9,28.6,2.00,4,2,1,50.0,1,0.33,10,1,2,4,15.0,1,0,0,0.0,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,2,,浜崎勇矢,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,4,,阿部航平,3,■,■,□,nan,nan,4,3,0,75.0,75.0,1.00,0,0,0,-,4,1.33,9,0,1,2,2.8,0,0,0,-,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,6,,瀧澤陽紀,3,■,■,■,nan,nan,18,8,0,44.4,44.4,2.67,1,0,0,0.0,2,0.67,10,0,0,3,7.5,7,4,1,64.3,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,8,,曹海倫,3,■,■,■,nan,nan,12,10,1,83.3,75.0,3.33,0,0,0,-,3,1.00,7,1,3,1,7.1,0,0,0,-,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,11,,濱田英寿,3,□,□,□,nan,nan,5,1,1,20.0,0.0,0.33,0,0,0,-,0,-,1,0,0,0,0.0,7,3,0,42.9,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,12,,土井友登,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,15,0,0,1,1.7,0,0,0,-,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,13,L,新垣東麻,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,4,1,64.3,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,16,,松田康河,3,□,□,■,nan,nan,4,4,0,100.0,100.0,1.33,0,0,0,-,1,0.33,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,22,L,関谷拓巳,1,nan,nan,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,1,2,50.0,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,23,,曽田一也,3,■,■,■,nan,nan,21,10,2,47.6,38.1,3.33,3,2,0,66.7,0,-,18,1,4,4,5.6,15,6,4,53.3,,,,,,,,
2021-01-23,つくばユナイテッドSunGAIA,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,78,42,6,53.8,46.2,14.00,8,4,1,50.0,12,4.00,73,3,10,15,5.8,41,18,8,53.7,85,26,5,30.6,2,0.67,6.7,57.1
