試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-11,1,,田中一彰,5,■,■,■,■,■,26,10,5,0.38461538461538464,0.19230769230769232,2.00,0,0,0,-,1,0.20,26,2,4,7,10.6,33,13,11,56.1
2020-01-11,3,,野垣昂大,5,■,■,■,□,■,0,0,0,,,-,0,0,0,-,0,-,13,0,1,6,9.6,0,0,0,-
2020-01-11,4,,石川和樹,2,,,□,■,,2,2,0,1.0,1.0,1.00,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2020-01-11,5,,松永崚汰,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-11,6,L,米村尊,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-11,8,,長谷川博紀,5,■,■,■,■,■,16,8,0,0.5,0.5,1.60,0,0,0,-,3,0.60,12,0,1,4,6.2,0,0,0,-
2020-01-11,11,,前川将太,5,■,■,■,□,■,38,22,2,0.5789473684210527,0.5263157894736842,4.40,6,4,0,66.7,2,0.40,10,0,4,4,0.0,15,7,3,56.7
2020-01-11,12,L,大浦坂健太,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,34,16,9,60.3
2020-01-11,15,,茶屋道康輔,5,■,■,■,■,■,24,10,3,0.4166666666666667,0.2916666666666667,2.00,0,0,0,-,4,0.80,18,0,2,3,1.4,0,0,0,-
2020-01-11,19,,中村有登,4,■,■,■,■,,21,5,1,0.23809523809523808,0.19047619047619047,1.25,3,0,0,0.0,1,0.25,14,1,2,8,17.9,0,0,0,-
2020-01-11,20,,落合一輝,5,□,□,□,□,□,2,0,0,0.0,0.0,-,0,0,0,-,0,-,11,1,2,3,11.4,3,1,1,50.0
2020-01-11,21,,上出哲也,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-11,23,,北田陽季,3,,,□,■,■,15,7,2,0.4666666666666667,0.3333333333333333,2.33,6,2,1,33.3,0,-,4,0,1,0,-6.2,0,0,0,-
2020-01-11,チーム合計,チーム合計,チーム合計,5,,,,,,144,64,13,0.4444444444444444,0.3541666666666667,12.80,15,6,1,40.0,11,2.20,111,4,17,35,7.7,85,37,24,57.6
