試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-19,ヴィアティン三重,1,,田中一彰,5,■,■,■,■,■,11,6,2,0.5454545454545454,0.36363636363636365,1.20,0,0,0,-,1,0.20,22,3,4,7,17.0,51,19,15,52.0
2020-01-19,ヴィアティン三重,3,,野垣昂大,5,■,■,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,3,0.60,14,0,0,5,8.9,0,0,0,-
2020-01-19,ヴィアティン三重,4,,石川和樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-19,ヴィアティン三重,5,,松永崚汰,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-01-19,ヴィアティン三重,6,L,米村尊,5,〇,〇,〇,〇,〇,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-19,ヴィアティン三重,8,,長谷川博紀,5,■,■,■,■,■,23,14,0,0.6086956521739131,0.6086956521739131,2.80,0,0,0,-,3,0.60,7,0,1,1,0.0,1,0,0,0.0
2020-01-19,ヴィアティン三重,11,,前川将太,1,■,nan,nan,nan,nan,10,3,1,0.3,0.2,3.00,1,1,0,100.0,0,-,3,0,1,1,0.0,5,2,1,50.0
2020-01-19,ヴィアティン三重,12,L,大浦坂健太,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,11,10,59.3
2020-01-19,ヴィアティン三重,15,,茶屋道康輔,5,■,■,■,■,■,19,7,2,0.3684210526315789,0.2631578947368421,1.40,0,0,0,-,0,-,22,1,1,6,10.2,1,0,0,0.0
2020-01-19,ヴィアティン三重,19,,中村有登,5,■,■,■,■,■,18,6,2,0.3333333333333333,0.2222222222222222,1.20,5,2,2,40.0,4,0.80,16,0,2,7,7.8,0,0,0,-
2020-01-19,ヴィアティン三重,20,,落合一輝,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0,0,-
2020-01-19,ヴィアティン三重,21,,上出哲也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-19,ヴィアティン三重,23,,北田陽季,4,nan,■,■,■,■,34,20,1,0.5882352941176471,0.5588235294117647,5.00,9,6,1,66.7,1,0.25,19,1,2,6,10.5,0,0,0,-
2020-01-19,ヴィアティン三重,39,,諏訪晃大,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-19,ヴィアティン三重,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,116,56,8,0.4827586206896552,0.41379310344827586,11.20,15,9,3,60.0,12,2.40,109,5,12,34,9.6,85,32,26,52.9
