試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,4,,石川和樹,2,,,□,■,,2,1,0,0.5,0.5,0.50,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-
2019-11-17,4,,石川和樹,3,,□,■,□,,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,7,0,0,4,14.3,0,0,0,-
2019-11-24,4,,石川和樹,3,■,■,■,,,2,1,0,0.5,0.5,0.33,0,0,0,-,0,-,9,0,1,4,8.3,0,0,0,-
2019-11-30,4,,石川和樹,3,■,□,,□,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,0,2,8.3,0,0,0,-
2019-12-01,4,,石川和樹,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-
2019-12-14,4,,石川和樹,1,,,□,,,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2019-12-15,4,,石川和樹,2,□,□,,,,1,1,0,1.0,1.0,0.50,1,1,0,100.0,0,-,2,0,0,1,12.5,0,0,0,-
2019-12-21,4,,石川和樹,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-
2019-12-22,4,,石川和樹,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-
2020-01-11,4,,石川和樹,2,,,□,■,,2,2,0,1.0,1.0,1.00,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2020-01-12,4,,石川和樹,3,,□,,□,■,1,1,0,1.0,1.0,0.33,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-
2020-01-18,4,,石川和樹,3,□,■,■,,,0,0,0,,,-,0,0,0,-,1,0.33,4,0,0,1,6.2,0,0,0,-
2020-01-19,4,,石川和樹,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,4,,石川和樹,1,,□,,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-
2020-01-26,4,,石川和樹,5,□,□,□,■,■,4,2,0,0.5,0.5,0.40,0,0,0,-,2,0.40,12,0,0,0,0.0,0,0,0,-
2020-02-01,4,,石川和樹,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-
2020-02-08,4,,石川和樹,2,,□,,□,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2020-02-09,4,,石川和樹,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2020-02-15,4,,石川和樹,2,□,□,,,,0,0,0,,,-,0,0,0,-,1,0.50,4,0,1,1,0.0,0,0,0,-
2020-02-16,4,,石川和樹,2,,□,■,,,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
