試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-07,ヴィアティン三重,2,,中村有登,2,■,■,nan,nan,nan,8,4,0,50.0,50.0,2.00,2,2,0,100.0,0,-,6,0,1,3,8.3,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,3,,野垣昂大,2,■,■,nan,nan,nan,3,1,1,33.3,0.0,0.50,0,0,0,-,0,-,5,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,4,,石川和樹,2,nan,□,□,nan,nan,3,1,0,33.3,33.3,0.50,0,0,0,-,0,-,5,0,0,3,15.0,1,0,1,50.0,,,,,,,,
2021-02-07,ヴィアティン三重,8,,長谷川博紀,3,■,■,■,nan,nan,16,6,0,37.5,37.5,2.00,0,0,0,-,2,0.67,10,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,9,,森垣拓真,1,nan,nan,□,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,3,0,2,1,-8.3,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,10,L,外崎航平,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,6,0,100.0,,,,,,,,
2021-02-07,ヴィアティン三重,11,,前川将太,2,nan,■,■,nan,nan,21,12,1,57.1,52.4,6.00,5,1,0,20.0,2,1.00,6,1,2,2,16.7,8,6,1,81.2,,,,,,,,
2021-02-07,ヴィアティン三重,12,L,大浦坂健太,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,6,2,41.2,,,,,,,,
2021-02-07,ヴィアティン三重,16,,安田瑛亮,3,■,■,■,nan,nan,16,8,0,50.0,50.0,2.67,0,0,0,-,0,-,18,0,2,4,2.8,20,11,6,70.0,,,,,,,,
2021-02-07,ヴィアティン三重,18,,福元浩太郎,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,23,,北田陽季,2,■,nan,□,nan,nan,3,2,0,66.7,66.7,1.00,0,0,0,-,0,-,6,0,0,1,4.2,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,24,,松岡将希,2,□,nan,□,nan,nan,4,0,2,0.0,-50.0,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2021-02-07,ヴィアティン三重,34,,三好佳介,2,nan,□,■,nan,nan,20,11,0,55.0,55.0,5.50,5,3,0,60.0,0,-,6,0,2,1,-4.2,1,1,0,100.0,,,,,,,,
2021-02-07,ヴィアティン三重,73,,島波輝,3,■,■,■,nan,nan,17,5,2,29.4,17.6,1.67,5,0,1,0.0,2,0.67,15,0,2,4,3.3,2,1,0,50.0,,,,,,,,
2021-02-07,ヴィアティン三重,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,112,51,6,45.5,40.2,17.00,17,6,1,35.3,6,2.00,86,1,14,23,3.8,55,31,10,65.5,103,40,11,38.8,10,3.33,-0.7,51.4
