試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-01,2,,山口功太郎,1,,,,,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-01,3,,田城貴之,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,4,,古田史郎,4,,□,■,■,■,42,25,2,0.5952380952380952,0.5476190476190477,6.25,16,11,0,68.8,5,1.25,12,2,3,1,12.5,0,0,0,-
2019-12-01,5,,家近滉一,3,■,■,■,,,22,9,4,0.4090909090909091,0.22727272727272727,3.00,4,1,1,25.0,0,-,8,0,1,0,-3.1,14,7,2,57.1
2019-12-01,6,,本澤凌斗,2,■,■,,,,1,0,0,0.0,0.0,-,0,0,0,-,1,0.50,5,0,1,2,5.0,0,0,0,-
2019-12-01,7,,関根俊哉,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,8,,キサルムラートハン,5,■,■,■,■,■,12,7,1,0.5833333333333334,0.5,1.40,0,0,0,-,2,0.40,20,0,4,1,-3.8,5,2,0,40.0
2019-12-01,10,L,白石啓丈,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,12,3,79.4
2019-12-01,11,,藤村昇太,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-01,13,,佐々木博秋,5,■,■,■,■,■,30,10,4,0.3333333333333333,0.2,2.00,8,4,1,50.0,1,0.20,17,0,2,4,2.9,46,31,9,77.2
2019-12-01,14,,張育陞,2,■,■,,,,20,10,2,0.5,0.4,5.00,10,4,2,40.0,0,-,9,0,3,4,2.8,0,0,0,-
2019-12-01,17,,辰巳遼,4,,□,■,■,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,12,0,0,3,6.2,0,0,0,-
2019-12-01,20,,戸田拓也,3,,,□,■,■,19,9,4,0.47368421052631576,0.2631578947368421,3.00,0,0,0,-,2,0.67,9,0,3,1,-5.6,15,11,1,76.7
2019-12-01,23,,田城広光,5,■,■,■,■,■,17,8,2,0.47058823529411764,0.35294117647058826,1.60,0,0,0,-,2,0.40,17,0,5,2,-4.4,0,0,0,-
2019-12-01,チーム合計,チーム合計,チーム合計,5,,,,,,164,78,19,0.47560975609756095,0.3597560975609756,15.60,38,20,4,52.6,13,2.60,110,2,22,18,0.9,97,63,15,72.7
