試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-08,ヴォレアス北海道,0,,越川優,3,■,■,■,nan,nan,16,9,1,56.2,50.0,3.00,2,2,0,100.0,2,0.67,11,1,3,4,11.4,21,13,2,66.7,,,,,,,,
2020-11-08,ヴォレアス北海道,2,,山口功太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,3,,田城貴之,3,■,■,■,nan,nan,7,6,0,85.7,85.7,2.00,0,0,0,-,4,1.33,14,3,2,4,25.0,1,0,1,50.0,,,,,,,,
2020-11-08,ヴォレアス北海道,5,,家近滉一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,6,,本澤凌斗,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,9,,加藤伊織,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,10,L,白石啓丈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,5,4,53.8,,,,,,,,
2020-11-08,ヴォレアス北海道,11,L,藤村昇太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,13,,佐々木博秋,3,■,■,■,nan,nan,15,8,1,53.3,46.7,2.67,1,1,0,100.0,0,-,11,0,2,0,-4.5,10,4,3,55.0,,,,,,,,
2020-11-08,ヴォレアス北海道,14,,張育陞,3,■,■,■,nan,nan,22,12,1,54.5,50.0,4.00,7,5,0,71.4,1,0.33,10,1,3,2,7.5,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,17,,辰巳遼,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,19,0,3,2,-1.3,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,18,,後藤万澄,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,20,,戸田拓也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-08,ヴォレアス北海道,23,,田城広光,3,■,■,■,nan,nan,8,3,0,37.5,37.5,1.00,0,0,0,-,5,1.67,10,0,4,3,-2.5,1,1,0,100.0,,,,,,,,
2020-11-08,ヴォレアス北海道,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,68,38,3,55.9,51.5,12.67,10,8,0,80.0,12,4.00,77,5,17,16,6.2,46,23,10,60.9,81,31,9,38.3,2,0.67,6.1,62.9
