試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-02,13,,仲村鴻輝,3,■,,□,□,,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2019-11-03,13,,仲村鴻輝,4,■,■,□,□,,6,2,0,0.3333333333333333,0.3333333333333333,0.50,0,0,0,-,0,-,5,0,0,3,15.0,0,0,0,-
2019-11-16,13,,仲村鴻輝,2,□,,,,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-17,13,,仲村鴻輝,3,□,□,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,13,,仲村鴻輝,3,□,■,■,,,5,2,0,0.4,0.4,0.67,0,0,0,-,2,0.67,8,1,0,4,25.0,0,0,0,-
2019-11-24,13,,仲村鴻輝,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-30,13,,仲村鴻輝,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,13,,仲村鴻輝,2,□,,,,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,13,,仲村鴻輝,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-22,13,,仲村鴻輝,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-18,13,,仲村鴻輝,2,■,■,,,,4,1,0,0.25,0.25,0.50,0,0,0,-,0,-,6,0,0,2,8.3,1,1,0,100.0
2020-01-19,13,,仲村鴻輝,2,,,□,□,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-09,13,,仲村鴻輝,2,,□,■,,,3,0,0,0.0,0.0,-,0,0,0,-,1,0.50,1,0,0,0,0.0,0,0,0,-
2020-02-15,13,,仲村鴻輝,1,,,□,,,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-02-16,13,,仲村鴻輝,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-22,13,,仲村鴻輝,2,,■,■,,,3,1,0,0.3333333333333333,0.3333333333333333,0.50,0,0,0,-,0,-,8,0,0,2,6.2,0,0,0,-
2020-02-23,13,,仲村鴻輝,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
