試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-20,兵庫デルフィーノ,1,,西澤岳,3,■,■,■,nan,nan,13,5,0,38.5,38.5,1.67,2,0,0,0.0,0,-,8,0,2,1,-3.1,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,2,,白川佑樹,3,□,■,■,nan,nan,12,4,2,33.3,16.7,1.33,2,1,1,50.0,1,0.33,3,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,5,,中野将太,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,10,1,3,3,10.0,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,7,,田中寛人,3,■,■,■,nan,nan,8,4,0,50.0,50.0,1.33,0,0,0,-,0,-,7,0,0,2,7.1,3,1,1,50.0,,,,,,,,
2021-02-20,兵庫デルフィーノ,8,,加藤遼太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,9,L,玉嶋佑樹,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,11,,澁谷杜斗,3,■,■,■,nan,nan,19,5,0,26.3,26.3,1.67,0,0,0,-,3,1.00,7,0,1,1,0.0,13,1,6,30.8,,,,,,,,
2021-02-20,兵庫デルフィーノ,12,L,猪岡恭平,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,6,8,50.0,,,,,,,,
2021-02-20,兵庫デルフィーノ,13,,仲村鴻輝,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,14,,林優作,1,■,nan,nan,nan,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,3,0,2,0,-16.7,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,21,,マシューパロット,3,■,■,■,nan,nan,25,9,1,36.0,32.0,3.00,7,2,1,28.6,1,0.33,12,0,3,3,0.0,21,9,4,52.4,,,,,,,,
2021-02-20,兵庫デルフィーノ,22,,奥田晃,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-20,兵庫デルフィーノ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,78,28,3,35.9,32.1,9.33,11,3,2,27.3,5,1.67,53,1,11,10,1.4,57,17,19,46.5,76,45,3,59.2,10,3.33,7.2,54.8
