試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,21,,石井和希,5,■,■,■,■,■,46,19,5,0.4130434782608696,0.3043478260869565,3.80,13,4,3,30.8,1,0.20,18,0,0,2,2.8,0,0,0,-
2019-11-17,21,,石井和希,3,■,■,■,,,23,15,2,0.6521739130434783,0.5652173913043478,5.00,5,4,0,80.0,0,-,11,0,1,3,4.5,0,0,0,-
2019-11-23,21,,石井和希,2,■,■,,,,12,8,0,0.6666666666666666,0.6666666666666666,4.00,4,3,0,75.0,0,-,4,0,0,2,12.5,0,0,0,-
2019-11-30,21,,石井和希,3,■,■,■,,,26,10,0,0.38461538461538464,0.38461538461538464,3.33,5,3,0,60.0,0,-,15,0,0,1,1.7,0,0,0,-
2019-12-01,21,,石井和希,5,■,■,■,■,■,38,16,2,0.42105263157894735,0.3684210526315789,3.20,10,3,2,30.0,2,0.40,17,0,0,0,0.0,0,0,0,-
2019-12-07,21,,石井和希,5,■,■,■,■,■,41,21,4,0.5121951219512195,0.4146341463414634,4.20,10,3,4,30.0,1,0.20,16,0,1,3,3.1,0,0,0,-
2019-12-08,21,,石井和希,3,■,■,■,,,31,10,3,0.3225806451612903,0.2258064516129032,3.33,12,4,2,33.3,0,-,11,0,0,5,11.4,0,0,0,-
2019-12-14,21,,石井和希,1,,,■,,,9,5,0,0.5555555555555556,0.5555555555555556,5.00,3,3,0,100.0,0,-,4,0,0,3,18.8,0,0,0,-
2019-12-15,21,,石井和希,4,■,■,■,■,,41,22,2,0.5365853658536586,0.4878048780487805,5.50,14,9,0,64.3,0,-,11,1,1,3,13.6,0,0,0,-
2019-12-21,21,,石井和希,4,■,■,■,■,,48,23,1,0.4791666666666667,0.4583333333333333,5.75,17,8,1,47.1,1,0.25,13,0,0,2,3.8,0,0,0,-
2019-12-22,21,,石井和希,4,■,■,■,■,,44,24,3,0.5454545454545454,0.4772727272727273,6.00,11,7,1,63.6,0,-,19,0,1,2,1.3,0,0,0,-
2020-01-25,21,,石井和希,3,■,■,■,,,22,11,1,0.5,0.4545454545454545,3.67,5,3,0,60.0,2,0.67,13,1,1,4,13.5,0,0,0,-
2020-01-26,21,,石井和希,2,,,■,■,,27,13,1,0.4814814814814815,0.4444444444444444,6.50,9,7,0,77.8,0,-,5,0,1,1,0.0,0,0,0,-
2020-02-01,21,,石井和希,4,■,■,■,■,,43,25,6,0.5813953488372093,0.4418604651162791,6.25,15,9,2,60.0,2,0.50,15,0,1,2,1.7,0,0,0,-
2020-02-02,21,,石井和希,4,■,■,■,■,,38,22,3,0.5789473684210527,0.5,5.50,14,8,1,57.1,1,0.25,16,0,1,2,1.6,0,0,0,-
2020-02-08,21,,石井和希,3,■,■,■,,,47,24,5,0.5106382978723404,0.40425531914893614,8.00,13,8,1,61.5,2,0.67,14,0,0,0,0.0,0,0,0,-
2020-02-09,21,,石井和希,2,■,■,,,,15,10,2,0.6666666666666666,0.5333333333333333,5.00,4,2,1,50.0,2,1.00,8,0,1,3,6.2,2,0,2,50.0
2020-02-15,21,,石井和希,5,■,■,■,■,■,47,16,7,0.3404255319148936,0.1914893617021277,3.20,17,6,5,35.3,4,0.80,15,0,0,6,10.0,0,0,0,-
2020-02-16,21,,石井和希,4,■,■,■,■,,51,29,6,0.5686274509803921,0.4509803921568628,7.25,16,11,4,68.8,0,-,18,0,0,7,9.7,1,0,0,0.0
2020-02-22,21,,石井和希,5,■,■,■,■,■,46,19,4,0.4130434782608696,0.32608695652173914,3.80,15,8,1,53.3,3,0.60,21,1,0,5,10.7,0,0,0,-
2020-02-23,21,,石井和希,4,■,■,■,■,,42,18,8,0.42857142857142855,0.2380952380952381,4.50,14,2,5,14.3,0,-,7,0,0,5,17.9,1,0,0,0.0
