大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION2 MEN,富士通カワサキレッドスピリッツ,19,19,40,20,3,50.0,0,0,0,-,1.05,13,0.68,40,0,0,1,8,4.4,0,0,0,-,20,13,0,33
レギュラーラウンド,富士通カワサキレッドスピリッツ,19,19,40,20,3,50.0,0,0,0,-,1.05,13,0.68,40,0,0,1,8,4.4,0,0,0,-,20,13,0,33
V.LEAGUE DIVISION2 MEN 2018-19,富士通カワサキレッドスピリッツ,2,2,1,1,0,100.0,0,0,0,-,0.50,0,-,1,0,0,0,0,0.0,0,0,0,-,1,0,0,1
レギュラーラウンド,富士通カワサキレッドスピリッツ,2,2,1,1,0,100.0,0,0,0,-,0.50,0,-,1,0,0,0,0,0.0,0,0,0,-,1,0,0,1
Ｖ・チャレンジリーグⅠ男子 2017/18,富士通カワサキレッドスピリッツ,10,2,4,0,2,0.0,0,0,0,-,-,1,0.50,0,0,0,0,0,-,0,0,0,-,0,1,0,1
レギュラーラウンド,富士通カワサキレッドスピリッツ,10,2,4,0,2,0.0,0,0,0,-,-,1,0.50,0,0,0,0,0,-,0,0,0,-,0,1,0,1
Ｖ・チャレンジリーグⅠ男子 2016/17,富士通カワサキレッドスピリッツ,10,3,4,1,0,25.0,0,0,0,-,0.33,0,-,1,0,0,0,1,25.0,2,1,0,50.0,1,0,0,1
レギュラーラウンド,富士通カワサキレッドスピリッツ,10,3,4,1,0,25.0,0,0,0,-,0.33,0,-,1,0,0,0,1,25.0,2,1,0,50.0,1,0,0,1
レギュラーシーズン通算,,41,26,49,22,5,44.9,0,0,0,-,0.85,14,0.54,42,0,0,1,9,4.8,2,1,0,50.0,22,14,0,36
通算,,41,26,49,22,5,44.9,0,0,0,-,0.85,14,0.54,42,0,0,1,9,4.8,2,1,0,50.0,22,14,0,36
