試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,1,,與崎風人,4,■,■,■,■,,25,9,5,0.36,0.16,2.25,10,3,4,30.0,2,0.50,10,0,2,1,-2.5,0,0,0,-
2019-11-23,3,L,冷水亮,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,35,17,11,64.3
2019-11-23,4,,宮田航輔,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2019-11-23,6,,中村龍哉,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,7,,北崎文弥,3,■,,■,■,,6,5,0,0.8333333333333334,0.8333333333333334,1.67,0,0,0,-,1,0.33,7,0,1,0,-3.6,1,0,0,0.0
2019-11-23,9,L,佐藤雄斗,2,,,〇,〇,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,11,,熊谷勇人,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-
2019-11-23,12,,澤瑞貴,4,■,■,■,■,,35,14,4,0.4,0.2857142857142857,3.50,12,3,3,25.0,2,0.50,11,0,5,1,-9.1,22,11,6,63.6
2019-11-23,14,,山下道生,3,□,■,,■,,11,2,0,0.18181818181818182,0.18181818181818182,0.67,0,0,0,-,0,-,5,0,2,0,-10.0,0,0,0,-
2019-11-23,17,,田中拓海,4,■,■,■,■,,4,2,0,0.5,0.5,0.50,0,0,0,-,0,-,12,0,2,3,2.1,0,0,0,-
2019-11-23,18,,大下将,3,■,■,■,,,6,3,0,0.5,0.5,1.00,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-
2019-11-23,19,,奈琳剣,4,□,□,□,□,,4,2,0,0.5,0.5,0.50,2,1,0,50.0,0,-,1,0,1,0,-25.0,0,0,0,-
2019-11-23,22,,金子隼,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,24,,増田純平,4,■,■,■,■,,28,15,5,0.5357142857142857,0.35714285714285715,3.75,4,1,0,25.0,0,-,13,0,1,0,-1.9,30,13,15,68.3
2019-11-23,チーム合計,チーム合計,チーム合計,4,,,,,,119,52,14,0.4369747899159664,0.31932773109243695,13.00,28,8,7,28.6,5,1.25,74,0,15,8,-2.4,88,41,32,64.8
