試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-16,7,,北崎文弥,4,■,■,■,■,,10,2,1,0.2,0.1,0.50,0,0,0,-,1,0.25,17,1,1,2,7.4,1,0,0,0.0
2019-11-17,7,,北崎文弥,2,■,,,□,,2,1,0,0.5,0.5,0.50,0,0,0,-,1,0.50,2,0,0,1,12.5,0,0,0,-
2019-11-23,7,,北崎文弥,3,■,,■,■,,6,5,0,0.8333333333333334,0.8333333333333334,1.67,0,0,0,-,1,0.33,7,0,1,0,-3.6,1,0,0,0.0
2019-11-30,7,,北崎文弥,4,■,■,■,■,,15,9,2,0.6,0.4666666666666667,2.25,0,0,0,-,3,0.75,17,0,2,2,0.0,0,0,0,-
2019-12-07,7,,北崎文弥,2,■,■,,,,8,6,2,0.75,0.5,3.00,0,0,0,-,2,1.00,7,0,0,3,10.7,0,0,0,-
2019-12-14,7,,北崎文弥,1,,□,,,,3,1,0,0.3333333333333333,0.3333333333333333,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-15,7,,北崎文弥,1,,,■,,,3,3,0,1.0,1.0,3.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-21,7,,北崎文弥,2,,,,■,■,8,3,0,0.375,0.375,1.50,0,0,0,-,0,-,10,0,2,1,-2.5,0,0,0,-
2019-12-22,7,,北崎文弥,1,,■,,,,6,2,0,0.3333333333333333,0.3333333333333333,2.00,0,0,0,-,1,1.00,3,0,0,0,0.0,0,0,0,-
2020-01-12,7,,北崎文弥,1,,■,,,,3,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-01,7,,北崎文弥,2,■,,□,,,5,1,1,0.2,0.0,0.50,1,0,1,0.0,0,-,4,0,0,0,0.0,2,1,1,75.0
2020-02-08,7,,北崎文弥,2,,□,□,,,4,1,0,0.25,0.25,0.50,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-09,7,,北崎文弥,1,□,,,,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-15,7,,北崎文弥,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-16,7,,北崎文弥,1,,,□,,,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,2,0,0,0,0.0,2,1,0,50.0
2020-02-22,7,,北崎文弥,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-23,7,,北崎文弥,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
