試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-16,東京ヴェルディ,1,,與崎風人,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,4,3,1,87.5,,,,,,,,
2021-01-16,東京ヴェルディ,2,,小松一哉,3,■,■,■,nan,nan,22,5,3,22.7,9.1,1.67,6,2,2,33.3,0,-,9,0,0,0,0.0,25,8,7,46.0,,,,,,,,
2021-01-16,東京ヴェルディ,3,L,三角昌弘,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,11,0,73.3,,,,,,,,
2021-01-16,東京ヴェルディ,4,L,宮田航輔,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,6,,中村龍哉,1,nan,nan,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,10,,佐藤隼一,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,1,1,1,33.3,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,11,,熊谷勇人,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,12,,澤瑞貴,3,■,■,■,nan,nan,15,10,1,66.7,60.0,3.33,4,2,1,50.0,4,1.33,8,0,2,1,-3.1,19,8,4,52.6,,,,,,,,
2021-01-16,東京ヴェルディ,14,,山下道生,3,■,■,■,nan,nan,9,2,0,22.2,22.2,0.67,0,0,0,-,0,-,10,0,2,2,0.0,2,0,0,0.0,,,,,,,,
2021-01-16,東京ヴェルディ,16,,石黒聖也,3,■,■,□,nan,nan,6,1,1,16.7,0.0,0.33,0,0,0,-,2,0.67,5,0,1,2,5.0,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,19,,奈琳剣,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,1,1,0,37.5,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,20,,蔵田大輝,1,nan,nan,■,nan,nan,4,0,0,0.0,0.0,-,2,0,0,0.0,0,-,2,0,1,0,-12.5,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,21,,高杉優希,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,0,-,8,0,1,4,9.4,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,22,,大村翔哉,2,■,■,nan,nan,nan,20,8,1,40.0,35.0,4.00,13,5,1,38.5,0,-,10,2,1,4,27.5,0,0,0,-,,,,,,,,
2021-01-16,東京ヴェルディ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,79,27,6,34.2,26.6,9.00,25,9,4,36.0,6,2.00,59,4,10,15,8.9,65,30,12,55.4,96,44,13,45.8,7,2.33,9.6,58.5
