試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-21,1,,小川貴大,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-
2019-12-21,2,,伊藤裕之介,4,■,■,■,■,,2,2,0,1.0,1.0,0.50,0,0,0,-,3,0.75,12,0,0,2,4.2,0,0,0,-
2019-12-21,3,,水野貴文,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,4,,加藤啓,4,■,■,■,■,,11,7,0,0.6363636363636364,0.6363636363636364,1.75,0,0,0,-,7,1.75,13,1,1,3,11.5,0,0,0,-
2019-12-21,5,,大野隆一,4,■,■,■,■,,10,10,0,1.0,1.0,2.50,0,0,0,-,5,1.25,13,0,0,4,7.7,1,0,0,0.0
2019-12-21,6,,松本幸博,4,■,■,■,■,,18,7,2,0.3888888888888889,0.2777777777777778,1.75,0,0,0,-,1,0.25,14,1,0,2,10.7,16,5,5,46.9
2019-12-21,10,,豊田将人,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,12,0,0,7,14.6,0,0,0,-
2019-12-21,13,,中村航太朗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,14,,中道元貴,4,■,■,■,■,,26,12,0,0.46153846153846156,0.46153846153846156,3.00,2,2,0,100.0,1,0.25,13,0,4,5,1.9,23,17,1,76.1
2019-12-21,15,,河西敦司,4,■,■,■,■,,32,14,2,0.4375,0.375,3.50,13,5,1,38.5,3,0.75,14,0,2,4,3.6,0,0,0,-
2019-12-21,16,,金子優海,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2019-12-21,18,L,吉澤玄祐,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,6,6,40.9
2019-12-21,19,L,神谷昴紀,3,,〇,〇,〇,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,22,,阿部翼,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,チーム合計,チーム合計,チーム合計,4,,,,,,99,52,4,0.5252525252525253,0.48484848484848486,13.00,15,7,1,46.7,20,5.00,96,2,7,29,7.8,62,28,12,54.8
