試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-26,長野GaRons,2,,鰐川怜児,3,■,■,■,nan,nan,12,4,0,0.3333333333333333,0.3333333333333333,1.33,0,0,0,-,1,0.33,7,0,3,3,0.0,0,0,0,-
2020-01-26,長野GaRons,3,,清水一生,3,■,■,■,nan,nan,22,10,3,0.45454545454545453,0.3181818181818182,3.33,0,0,0,-,2,0.67,10,1,1,2,12.5,18,4,7,41.7
2020-01-26,長野GaRons,4,,横瀬将,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-01-26,長野GaRons,5,,松橋拓也,1,nan,□,nan,nan,nan,1,0,0,0.0,0.0,-,1,0,0,0.0,0,-,2,0,2,0,-25.0,0,0,0,-
2020-01-26,長野GaRons,7,,青木宏門,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-26,長野GaRons,9,,石坂ハスナヌ,3,■,■,■,nan,nan,15,7,2,0.4666666666666667,0.3333333333333333,2.33,0,0,0,-,0,-,10,0,2,3,2.5,0,0,0,-
2020-01-26,長野GaRons,10,,坂口舜,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-01-26,長野GaRons,11,,松下祐太,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2020-01-26,長野GaRons,12,L,山田広大,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,4,2,50.0
2020-01-26,長野GaRons,13,L,三角尚久,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-26,長野GaRons,14,,赤澤悠斗,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-01-26,長野GaRons,15,,高瀬太一,3,■,■,■,nan,nan,11,1,2,0.09090909090909091,-0.09090909090909091,0.33,1,0,1,0.0,0,-,5,0,2,1,-5.0,0,0,0,-
2020-01-26,長野GaRons,18,,酒井駿,3,■,■,■,nan,nan,29,9,2,0.3103448275862069,0.2413793103448276,3.00,4,1,0,25.0,0,-,11,0,0,3,6.8,32,18,6,65.6
2020-01-26,長野GaRons,19,,渡部勇人,3,■,■,■,nan,nan,3,3,0,1.0,1.0,1.00,1,1,0,100.0,1,0.33,9,0,0,1,2.8,0,0,0,-
2020-01-26,長野GaRons,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,93,34,9,0.3655913978494624,0.26881720430107525,11.33,7,2,1,28.6,4,1.33,58,1,11,13,2.6,60,26,15,55.8
