試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-21,長野GaRons,1,,酒井駿,4,■,■,■,■,nan,39,18,2,46.2,41.0,4.50,4,1,1,25.0,3,0.75,15,1,2,4,10.0,32,17,8,65.6,,,,,,,,
2020-11-21,長野GaRons,2,,鰐川怜児,4,■,■,■,■,nan,9,4,2,44.4,22.2,1.00,0,0,0,-,3,0.75,16,0,6,3,-4.7,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,3,L,三角尚久,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,4,,渡部勇人,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,21,1,0,3,8.3,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,5,,浅田潮,4,■,■,■,■,nan,34,13,1,38.2,35.3,3.25,0,0,0,-,1,0.25,11,0,5,1,-9.1,10,6,1,65.0,,,,,,,,
2020-11-21,長野GaRons,6,,松下祐太,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,5,2,66.7,,,,,,,,
2020-11-21,長野GaRons,7,,石坂ハスナヌ,4,■,■,■,■,nan,13,8,0,61.5,61.5,2.00,0,0,0,-,3,0.75,16,0,0,1,1.6,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,9,,高瀬太一,4,■,■,■,■,nan,27,13,3,48.1,37.0,3.25,3,2,1,66.7,1,0.25,14,3,2,5,26.8,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,10,,柳生大成,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,12,L,山田広大,4,〇,〇,〇,〇,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,12,4,63.6,,,,,,,,
2020-11-21,長野GaRons,14,,高井大輝,3,□,nan,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,15,,曾根裕也,3,□,nan,□,□,nan,4,1,0,25.0,25.0,0.33,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,17,,篠原和政,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-21,長野GaRons,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,126,57,8,45.2,38.9,14.25,7,3,2,42.9,12,3.00,97,5,16,18,5.7,73,40,15,65.1,136,55,8,40.4,3,0.75,4.5,64.1
