試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-09,25,,賀谷明日光,5,■,■,■,■,■,20,6,0,0.3,0.3,1.20,0,0,0,-,0,-,13,1,2,2,7.7,1,0,0,0.0
2019-11-10,25,,賀谷明日光,5,■,■,■,■,■,14,6,0,0.42857142857142855,0.42857142857142855,1.20,0,0,0,-,0,-,15,1,0,3,11.7,0,0,0,-
2019-11-16,25,,賀谷明日光,3,■,■,■,,,12,6,1,0.5,0.4166666666666667,2.00,0,0,0,-,2,0.67,8,0,1,2,3.1,0,0,0,-
2019-11-17,25,,賀谷明日光,5,■,■,■,■,■,24,6,1,0.25,0.20833333333333331,1.20,0,0,0,-,1,0.20,15,0,1,4,5.0,0,0,0,-
2019-11-23,25,,賀谷明日光,5,■,■,■,■,■,18,7,0,0.3888888888888889,0.3888888888888889,1.40,0,0,0,-,3,0.60,17,1,1,4,10.3,0,0,0,-
2019-11-24,25,,賀谷明日光,4,■,■,■,■,,9,4,1,0.4444444444444444,0.3333333333333333,1.00,0,0,0,-,1,0.25,14,0,1,1,0.0,1,1,0,100.0
2019-11-30,25,,賀谷明日光,3,■,■,■,,,19,7,1,0.3684210526315789,0.3157894736842105,2.33,0,0,0,-,2,0.67,9,0,1,1,0.0,2,1,1,75.0
2019-12-07,25,,賀谷明日光,5,■,■,■,■,■,31,9,2,0.2903225806451613,0.2258064516129032,1.80,0,0,0,-,3,0.60,11,0,2,0,-4.5,1,0,0,0.0
2019-12-08,25,,賀谷明日光,3,■,■,■,,,19,9,0,0.4736842105263158,0.4736842105263158,3.00,0,0,0,-,1,0.33,5,0,1,1,0.0,1,0,0,0.0
2019-12-14,25,,賀谷明日光,3,■,■,■,,,14,3,3,0.21428571428571427,0.0,1.00,0,0,0,-,3,1.00,8,0,1,3,6.2,1,1,0,100.0
2019-12-15,25,,賀谷明日光,5,■,■,■,■,■,23,11,2,0.4782608695652174,0.39130434782608703,2.20,0,0,0,-,2,0.40,15,0,1,1,0.0,2,2,0,100.0
2019-12-21,25,,賀谷明日光,5,■,■,■,■,■,19,6,1,0.3157894736842105,0.2631578947368421,1.20,0,0,0,-,2,0.40,17,1,0,1,7.4,0,0,0,-
2019-12-22,25,,賀谷明日光,5,■,■,■,■,■,26,5,0,0.19230769230769232,0.19230769230769232,1.00,0,0,0,-,2,0.40,16,0,0,4,6.2,1,1,0,100.0
2020-01-11,25,,賀谷明日光,3,■,■,■,,,17,8,1,0.4705882352941176,0.4117647058823529,2.67,0,0,0,-,1,0.33,9,0,2,1,-2.8,1,0,1,50.0
2020-01-18,25,,賀谷明日光,1,,□,,,,3,0,2,0.0,-0.6666666666666666,-,0,0,0,-,0,-,6,0,1,1,0.0,0,0,0,-
2020-01-19,25,,賀谷明日光,1,,,,■,,2,1,0,0.5,0.5,1.00,0,0,0,-,1,1.00,2,0,0,0,0.0,0,0,0,-
2020-01-25,25,,賀谷明日光,4,■,■,■,■,,24,10,1,0.4166666666666667,0.375,2.50,0,0,0,-,2,0.50,12,0,0,3,6.2,2,0,0,0.0
2020-02-01,25,,賀谷明日光,5,■,■,■,■,■,29,9,2,0.3103448275862069,0.2413793103448276,1.80,0,0,0,-,0,-,9,0,0,0,0.0,2,0,0,0.0
2020-02-02,25,,賀谷明日光,3,■,■,■,,,14,7,0,0.5,0.5,2.33,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-
2020-02-08,25,,賀谷明日光,2,■,■,,,,8,2,0,0.25,0.25,1.00,0,0,0,-,1,0.50,3,0,1,1,0.0,0,0,0,-
2020-02-09,25,,賀谷明日光,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
