試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-28,GSS東京サンビームズ,2,,松浦未波,3,■,■,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,0,2,25.0,1,0,0,0.0,,,,,,,,
2020-11-28,GSS東京サンビームズ,3,,有川由季乃,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,4,0,66.7,,,,,,,,
2020-11-28,GSS東京サンビームズ,4,L,平岩沙紀,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,4,0,66.7,,,,,,,,
2020-11-28,GSS東京サンビームズ,5,,色摩知巳,2,■,■,nan,nan,nan,14,4,0,28.6,28.6,2.00,0,0,0,-,0,-,3,0,0,2,16.7,4,0,3,37.5,,,,,,,,
2020-11-28,GSS東京サンビームズ,6,,勝見咲子,3,■,■,■,nan,nan,33,7,1,21.2,18.2,2.33,2,0,0,0.0,1,0.33,10,1,0,2,15.0,19,3,3,23.7,,,,,,,,
2020-11-28,GSS東京サンビームズ,11,,愛宕諒子,2,nan,□,■,nan,nan,13,6,0,46.2,46.2,3.00,0,0,0,-,0,-,5,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,12,,本間有貴,2,■,■,nan,nan,nan,6,2,0,33.3,33.3,1.00,0,0,0,-,1,0.50,6,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,15,,伊藤きわ美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,17,,土屋智菜実,3,■,■,■,nan,nan,26,8,2,30.8,23.1,2.67,2,0,1,0.0,0,-,12,0,0,5,10.4,30,12,6,50.0,,,,,,,,
2020-11-28,GSS東京サンビームズ,19,,大原萌,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,5,3,0,60.0,,,,,,,,
2020-11-28,GSS東京サンビームズ,20,,松尾由紀子,2,nan,□,■,nan,nan,2,2,0,100.0,100.0,1.00,0,0,0,-,0,-,4,1,0,0,25.0,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,21,,張心穆意,3,■,■,■,nan,nan,24,8,1,33.3,29.2,2.67,0,0,0,-,3,1.00,6,0,1,1,0.0,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,24,L,前村明里,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,25,,賀谷明日光,2,nan,□,■,nan,nan,11,3,0,27.3,27.3,1.50,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-,,,,,,,,
2020-11-28,GSS東京サンビームズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,129,40,4,31.0,27.9,13.33,4,0,1,0.0,5,1.67,63,3,1,14,9.9,71,26,12,45.1,150,61,8,40.7,6,2.00,11.5,63.3
