試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2010-02-28,大野石油広島オイラーズ,1,,桑実磨里,3,■,■,■,nan,nan,6,1,0,0.16666666666666666,0.16666666666666666,0.33,0,0,0,-,1,0.33,8,0,0,2,6.2,0,0,0,-
2010-02-28,大野石油広島オイラーズ,2,,小受加代子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-02-28,大野石油広島オイラーズ,4,,海老原めぐみ,3,■,■,■,nan,nan,21,5,1,0.23809523809523808,0.19047619047619047,1.67,0,0,0,-,1,0.33,8,0,0,2,6.2,0,0,0,-
2010-02-28,大野石油広島オイラーズ,5,,瀧本鈴絵,3,□,■,■,nan,nan,16,4,1,0.25,0.1875,1.33,0,0,0,-,0,-,7,1,2,3,22.1,0,0,0,-
2010-02-28,大野石油広島オイラーズ,6,,松井友美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-02-28,大野石油広島オイラーズ,7,,小原真美,3,■,□,□,nan,nan,5,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2010-02-28,大野石油広島オイラーズ,8,,春川裕美,3,■,■,■,nan,nan,17,7,1,0.4117647058823529,0.35294117647058826,2.33,0,0,0,-,0,-,6,0,1,1,4.2,11,5,0,45.5
2010-02-28,大野石油広島オイラーズ,9,,森田亜衣,3,■,■,■,nan,nan,16,5,2,0.3125,0.1875,1.67,0,0,0,-,0,-,10,0,1,3,7.5,24,14,0,58.3
2010-02-28,大野石油広島オイラーズ,11,L,阪根範栄,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,10,0,55.6
2010-02-28,大野石油広島オイラーズ,14,,松本茜,3,■,■,■,nan,nan,26,4,2,0.15384615384615385,0.07692307692307693,1.33,0,0,0,-,0,-,7,0,0,2,7.1,12,7,0,58.3
2010-02-28,大野石油広島オイラーズ,18,,荒瀬ひかる,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,0,33.3
2010-02-28,大野石油広島オイラーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,107,26,7,0.24299065420560748,0.17757009345794392,8.67,0,0,0,-,2,0.67,46,1,4,13,8.8,68,37,0,54.4
2010-02-28,日立リヴァーレ,3,,吉田あい,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,2,0,66.7
2010-02-28,日立リヴァーレ,5,,松浦麻琴,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,8,1,1,3,19.4,0,0,0,-
2010-02-28,日立リヴァーレ,6,,石田小枝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
