名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ガントグトフハンドスレン,2021-01,ブレス浜松,5,9,21,10,2,47.6,38.1,0,0,0,2,15,3,3,3,0,0,0,,1.11,0.22,20.0,
上地野乃香,2020-11,群馬銀行グリーンウイングス,9,25,0,0,0,,,0,0,0,0,0,0,0,0,126,69,22,,0.0,0.0,,63.5
上地野乃香,2020-12,群馬銀行グリーンウイングス,9,8,0,0,0,,,0,0,0,0,0,0,0,0,40,19,7,,0.0,0.0,,56.2
上地野乃香,2021-02,群馬銀行グリーンウイングス,9,3,0,0,0,,,0,0,0,0,0,0,0,0,18,11,4,,0.0,0.0,,72.2
中島優花,2020-10,千葉エンゼルクロス,15,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中島優花,2020-11,千葉エンゼルクロス,15,3,16,3,3,18.8,0.0,0,0,0,0,0,0,0,0,6,2,0,,1.0,0.0,,33.3
中島優花,2020-12,千葉エンゼルクロス,15,1,3,1,1,33.3,0.0,0,0,0,2,0,0,0,0,0,0,0,,1.0,2.0,,
中田唯香,2020-11,群馬銀行グリーンウイングス,8,12,26,9,1,34.6,30.8,0,0,0,0,15,0,0,4,0,0,0,,0.75,0.0,6.7,
中田唯香,2020-12,群馬銀行グリーンウイングス,8,7,53,18,2,34.0,30.2,0,0,0,2,16,1,1,0,1,1,0,,2.57,0.29,4.7,100.0
中田唯香,2021-02,群馬銀行グリーンウイングス,8,3,32,9,2,28.1,21.9,0,0,0,2,8,0,0,1,6,1,3,,3.0,0.67,3.1,41.7
中道香名子,2020-10,ブレス浜松,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道香名子,2020-11,ブレス浜松,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中道香名子,2021-01,ブレス浜松,26,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中野祐希,2020-10,ブレス浜松,2,3,22,7,2,31.8,22.7,5,1,2,1,4,0,2,0,0,0,0,20.0,2.33,0.33,-12.5,
中野祐希,2020-11,ブレス浜松,2,27,318,117,25,36.8,28.9,83,24,14,11,88,1,12,22,2,2,0,28.9,4.33,0.41,4.0,100.0
中野祐希,2021-01,ブレス浜松,2,11,111,48,13,43.2,31.5,28,7,5,7,43,2,11,10,0,0,0,25.0,4.36,0.64,4.1,
井上実咲,2020-10,JAぎふリオレーナ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上実咲,2020-11,JAぎふリオレーナ,12,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
井上実咲,2020-12,JAぎふリオレーナ,12,2,10,4,1,40.0,30.0,0,0,0,1,3,0,0,0,1,0,0,,2.0,0.5,0.0,0.0
井上実咲,2021-01,JAぎふリオレーナ,12,1,5,1,0,20.0,20.0,0,0,0,0,4,1,1,1,0,0,0,,1.0,0.0,25.0,
伊藤きわ美,2020-10,GSS東京サンビームズ,15,3,19,4,1,21.1,15.8,1,0,0,1,11,1,2,1,17,9,4,0.0,1.33,0.33,6.8,64.7
伊藤きわ美,2020-11,GSS東京サンビームズ,15,21,175,49,5,28.0,25.1,12,5,0,4,64,4,5,20,140,70,26,41.7,2.33,0.19,12.1,59.3
伊藤きわ美,2020-12,GSS東京サンビームズ,15,5,32,7,3,21.9,12.5,3,1,1,1,9,1,0,3,41,16,8,33.3,1.4,0.2,19.4,48.8
伊藤寿奈,2020-11,群馬銀行グリーンウイングス,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤寿奈,2020-12,群馬銀行グリーンウイングス,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤寿奈,2021-02,群馬銀行グリーンウイングス,17,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤摩耶,2020-10,プレステージ・インターナショナルアランマーレ,17,4,24,13,1,54.2,50.0,0,0,0,4,14,0,3,4,0,0,0,,3.25,1.0,1.8,
伊藤摩耶,2020-11,プレステージ・インターナショナルアランマーレ,17,27,147,62,7,42.2,37.4,0,0,0,13,97,5,12,37,6,4,1,,2.3,0.48,11.6,75.0
伊藤摩耶,2020-12,プレステージ・インターナショナルアランマーレ,17,7,48,15,2,31.2,27.1,0,0,0,11,29,1,3,14,3,1,2,,2.14,1.57,12.9,66.7
伊藤摩耶,2021-01,プレステージ・インターナショナルアランマーレ,17,8,44,17,1,38.6,36.4,1,0,0,1,22,0,2,11,0,0,0,0.0,2.12,0.12,10.2,
伊藤摩耶,2021-02,プレステージ・インターナショナルアランマーレ,17,3,21,12,0,57.1,57.1,0,0,0,3,11,1,1,2,1,0,1,,4.0,1.0,11.4,50.0
伊藤琴音,2020-10,フォレストリーヴズ熊本,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤琴音,2020-11,フォレストリーヴズ熊本,11,7,0,0,0,,,0,0,0,0,0,0,0,0,17,3,8,,0.0,0.0,,41.2
伊藤琴音,2020-12,フォレストリーヴズ熊本,11,3,0,0,0,,,0,0,0,0,0,0,0,0,6,3,0,,0.0,0.0,,50.0
佐々木里菜,2020-10,ルートインホテルズブリリアントアリーズ,4,4,0,0,0,,,0,0,0,0,5,1,0,1,0,0,0,,0.0,0.0,25.0,
佐々木里菜,2020-11,ルートインホテルズブリリアントアリーズ,4,18,3,1,1,33.3,0.0,0,0,0,2,31,0,1,9,0,0,0,,0.06,0.11,6.5,
佐々木里菜,2020-12,ルートインホテルズブリリアントアリーズ,4,5,0,0,0,,,0,0,0,1,6,0,0,2,0,0,0,,0.0,0.2,8.3,
佐々木里菜,2021-01,ルートインホテルズブリリアントアリーズ,4,8,0,0,0,,,0,0,0,1,15,2,0,6,0,0,0,,0.0,0.12,23.3,
佐々木里菜,2021-02,ルートインホテルズブリリアントアリーズ,4,3,1,1,0,100.0,100.0,0,0,0,0,6,0,1,0,0,0,0,,0.33,0.0,-4.2,
佐木田彩夏,2020-10,フォレストリーヴズ熊本,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐木田彩夏,2020-11,フォレストリーヴズ熊本,5,2,5,0,2,0.0,-40.0,0,0,0,0,2,0,1,1,3,2,0,,0.0,0.0,0.0,66.7
佐木田彩夏,2020-12,フォレストリーヴズ熊本,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤愛美,2020-10,大野石油広島オイラーズ,9,4,37,15,1,40.5,37.8,1,0,0,2,14,0,0,4,0,0,0,0.0,3.75,0.5,7.1,
佐藤愛美,2020-11,大野石油広島オイラーズ,9,29,282,111,14,39.4,34.4,10,3,1,7,82,1,0,18,4,0,1,30.0,3.83,0.24,6.7,12.5
佐藤愛美,2020-12,大野石油広島オイラーズ,9,7,69,30,4,43.5,37.7,0,0,0,2,26,0,1,5,1,1,0,,4.29,0.29,3.8,100.0
佐藤愛美,2021-01,大野石油広島オイラーズ,9,7,68,16,4,23.5,17.6,6,0,0,2,12,0,0,4,0,0,0,0.0,2.29,0.29,8.3,
佐藤愛美,2021-02,大野石油広島オイラーズ,9,2,16,7,0,43.8,43.8,0,0,0,0,5,0,0,2,0,0,0,,3.5,0.0,10.0,
入江彩水,2020-10,フォレストリーヴズ熊本,12,3,30,11,3,36.7,26.7,0,0,0,2,7,0,1,1,0,0,0,,3.67,0.67,0.0,
入江彩水,2020-11,フォレストリーヴズ熊本,12,27,201,81,5,40.3,37.8,0,0,0,1,86,4,7,25,2,0,0,,3.0,0.04,9.9,0.0
入江彩水,2020-12,フォレストリーヴズ熊本,12,6,41,10,1,24.4,22.0,2,0,0,1,16,0,1,5,1,1,0,0.0,1.67,0.17,6.2,100.0
前村明里,2020-10,GSS東京サンビームズ,24,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
前村明里,2020-11,GSS東京サンビームズ,24,26,0,0,0,,,0,0,0,0,1,0,1,0,6,3,1,,0.0,0.0,-25.0,58.3
前村明里,2020-12,GSS東京サンビームズ,24,4,0,0,0,,,0,0,0,0,1,0,0,1,0,0,0,,0.0,0.0,25.0,
加藤彩夏,2020-10,ブレス浜松,11,2,6,2,0,33.3,33.3,0,0,0,0,3,0,0,1,0,0,0,,1.0,0.0,8.3,
加藤彩夏,2020-11,ブレス浜松,11,13,88,34,6,38.6,31.8,12,4,2,4,40,2,3,14,41,11,9,33.3,2.62,0.31,11.9,37.8
加藤彩夏,2021-01,ブレス浜松,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
勝見咲子,2020-10,GSS東京サンビームズ,6,2,15,6,1,40.0,33.3,1,0,0,0,7,0,0,3,13,6,5,0.0,3.0,0.0,10.7,65.4
勝見咲子,2020-11,GSS東京サンビームズ,6,19,192,50,15,26.0,18.2,10,1,1,7,36,1,0,8,83,27,10,10.0,2.63,0.37,8.3,38.6
勝見咲子,2020-12,GSS東京サンビームズ,6,6,72,19,5,26.4,19.4,4,1,0,0,21,0,0,9,47,17,16,25.0,3.17,0.0,10.7,53.2
北川海育,2020-10,大野石油広島オイラーズ,1,5,22,4,0,18.2,18.2,0,0,0,3,10,0,0,4,0,0,0,,0.8,0.6,10.0,
北川海育,2020-11,大野石油広島オイラーズ,1,29,182,64,2,35.2,34.1,0,0,0,18,80,1,3,23,4,2,1,,2.21,0.62,7.5,62.5
北川海育,2020-12,大野石油広島オイラーズ,1,7,60,17,4,28.3,21.7,0,0,0,3,22,0,0,10,5,4,0,,2.43,0.43,11.4,80.0
北川海育,2021-01,大野石油広島オイラーズ,1,9,66,29,0,43.9,43.9,0,0,0,2,24,1,1,3,4,2,1,,3.22,0.22,6.2,62.5
北川海育,2021-02,大野石油広島オイラーズ,1,3,30,10,1,33.3,30.0,0,0,0,3,7,0,1,0,2,1,0,,3.33,1.0,-3.6,50.0
北村果穂,2020-10,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
北村果穂,2020-11,プレステージ・インターナショナルアランマーレ,1,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,,0.0,0.0,-25.0,
北村果穂,2020-12,プレステージ・インターナショナルアランマーレ,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,
北村果穂,2021-01,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
北村果穂,2021-02,プレステージ・インターナショナルアランマーレ,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
南里くるみ,2020-10,フォレストリーヴズ熊本,7,3,1,0,0,0.0,0.0,0,0,0,0,5,0,1,0,0,0,0,,0.0,0.0,-5.0,
南里くるみ,2020-11,フォレストリーヴズ熊本,7,24,11,3,0,27.3,27.3,0,0,0,0,67,1,0,17,1,0,0,,0.12,0.0,7.8,0.0
