試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-01-25,ブレス浜松,3,,播磨若奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,ブレス浜松,6,L,松川美咲,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,7,5,67.9
2020-01-25,ブレス浜松,9,,和田法子,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-
2020-01-25,ブレス浜松,10,,多田遥,5,■,■,■,■,■,63,14,9,0.2222222222222222,0.07936507936507936,2.80,4,0,0,0.0,0,-,14,0,1,5,7.1,0,0,0,-
2020-01-25,ブレス浜松,11,,加藤彩夏,3,■,nan,nan,□,■,10,5,0,0.5,0.5,1.67,0,0,0,-,0,-,7,0,0,2,7.1,19,8,4,52.6
2020-01-25,ブレス浜松,12,,高田真央,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,ブレス浜松,14,,藤原ちひろ,5,■,■,■,■,■,42,15,1,0.35714285714285715,0.3333333333333333,3.00,0,0,0,-,5,1.00,15,0,0,2,3.3,0,0,0,-
2020-01-25,ブレス浜松,15,,勝呂詩保,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,ブレス浜松,16,,山本悠維,5,■,■,■,■,■,32,10,0,0.3125,0.3125,2.00,0,0,0,-,1,0.20,18,2,3,4,12.5,1,0,0,0.0
2020-01-25,ブレス浜松,19,,金田梨花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,ブレス浜松,21,,水上真悠子,5,■,■,■,■,■,76,19,8,0.25,0.14473684210526316,3.80,1,0,0,0.0,0,-,21,1,0,10,16.7,23,11,6,60.9
2020-01-25,ブレス浜松,22,,島原玖南,5,■,■,■,■,■,6,3,0,0.5,0.5,0.60,0,0,0,-,1,0.20,14,0,1,4,5.4,0,0,0,-
2020-01-25,ブレス浜松,25,,小川祐奈,5,□,■,■,■,□,18,3,1,0.16666666666666666,0.1111111111111111,0.60,0,0,0,-,0,-,11,0,1,3,4.5,46,16,9,44.6
2020-01-25,ブレス浜松,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,247,69,19,0.2793522267206478,0.20242914979757085,13.80,5,0,0,0.0,7,1.40,103,3,7,30,8.5,103,42,24,52.4
