試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-30,ブレス浜松,1,,熊本比奈,4,■,■,■,■,nan,46,14,2,30.4,26.1,3.50,0,0,0,-,1,0.25,13,0,1,6,9.6,29,19,2,69.0,,,,,,,,
2021-01-30,ブレス浜松,2,,中野祐希,4,■,■,■,■,nan,40,16,6,40.0,25.0,4.00,9,2,4,22.2,4,1.00,13,1,4,2,3.8,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,3,,播磨若奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,5,,ガントグトフハンドスレン,3,nan,□,□,□,nan,3,2,0,66.7,66.7,0.67,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,6,L,松川美咲,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,15,2,76.2,,,,,,,,
2021-01-30,ブレス浜松,10,,多田遥,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,11,,加藤彩夏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,12,,高田真央,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,14,,藤原ちひろ,4,■,■,■,■,nan,20,12,0,60.0,60.0,3.00,0,0,0,-,1,0.25,15,1,0,3,11.7,1,0,1,50.0,,,,,,,,
2021-01-30,ブレス浜松,21,,水上真悠子,4,■,■,■,■,nan,51,17,3,33.3,27.5,4.25,10,1,1,10.0,2,0.50,15,0,2,3,1.7,31,22,5,79.0,,,,,,,,
2021-01-30,ブレス浜松,22,,島原玖南,4,■,■,■,■,nan,7,3,0,42.9,42.9,0.75,0,0,0,-,2,0.50,18,0,0,6,8.3,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,23,,浅野奈菜,4,■,■,■,■,nan,21,8,1,38.1,33.3,2.00,0,0,0,-,0,-,20,0,3,4,1.2,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,25,,小川祐奈,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0,0,0.0,,,,,,,,
2021-01-30,ブレス浜松,26,L,中道香名子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-30,ブレス浜松,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,188,72,12,38.3,31.9,18.00,19,3,5,15.8,10,2.50,96,2,11,24,5.5,83,56,10,73.5,182,51,10,28.0,6,1.50,6.8,58.3
