試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-01,プレステージ・インターナショナルアランマーレ,1,,北村果穂,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,2,,尾花佳甫,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,3,,木村友里,4,■,■,■,■,nan,34,11,5,32.4,17.6,2.75,2,0,0,0.0,1,0.25,21,0,0,9,10.7,21,8,5,50.0,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,7,,草島華穂,2,nan,nan,□,□,nan,3,0,0,0.0,0.0,-,2,0,0,0.0,0,-,3,1,0,1,41.7,9,3,6,66.7,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,8,,田村愛美,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,10,,柳沢紫子,1,nan,nan,nan,□,nan,2,2,0,100.0,100.0,2.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,11,L,森寿実子,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,4,83.3,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,12,,榎本里歩,4,■,■,■,■,nan,49,17,4,34.7,26.5,4.25,8,2,1,25.0,2,0.50,13,1,2,2,7.7,33,10,9,43.9,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,14,L,細田瑠加,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,15,,投野ひかる,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,0,-,19,0,1,11,13.2,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,16,,宮本菜月,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,17,,伊藤摩耶,4,■,■,■,■,nan,21,8,2,38.1,28.6,2.00,0,0,0,-,1,0.25,15,1,2,7,15.0,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,19,,菅原里奈,4,■,■,■,■,nan,11,5,0,45.5,45.5,1.25,0,0,0,-,7,1.75,11,0,2,2,0.0,0,0,0,-,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,20,,小泉春葵,4,■,■,■,■,nan,40,18,0,45.0,45.0,4.50,4,2,0,50.0,2,0.50,10,1,1,2,12.5,1,1,0,100.0,,,,,,,,
2020-11-01,プレステージ・インターナショナルアランマーレ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,160,61,11,38.1,31.2,15.25,16,4,1,25.0,13,3.25,92,4,8,34,11.4,76,30,24,55.3,150,47,8,31.3,7,1.75,7.4,42.3
