試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-09,2,,小坂亜未,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,6,1,65.0
2019-11-10,2,,小坂亜未,4,□,□,□,■,,7,1,0,0.14285714285714285,0.14285714285714285,0.25,0,0,0,-,0,-,6,0,1,0,-4.2,21,11,4,61.9
2019-11-16,2,,小坂亜未,1,,,,,■,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,3,2,1,83.3
2019-11-17,2,,小坂亜未,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0,0,0.0
2019-11-23,2,,小坂亜未,3,□,,,□,■,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,4,2,2,75.0
2019-11-24,2,,小坂亜未,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,2,0,100.0
2019-12-01,2,,小坂亜未,2,□,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,2,1,1,75.0
2019-12-07,2,,小坂亜未,4,□,□,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,1,1,16.7
2019-12-08,2,,小坂亜未,2,□,,,,■,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-14,2,,小坂亜未,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-15,2,,小坂亜未,2,,□,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-
2019-12-21,2,,小坂亜未,3,,□,■,■,,6,3,1,0.5,0.3333333333333333,1.00,0,0,0,-,0,-,6,1,0,0,16.7,7,2,1,35.7
2019-12-22,2,,小坂亜未,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,4,1,2,50.0
2020-01-11,2,,小坂亜未,3,□,□,□,,,7,1,1,0.14285714285714285,0.0,0.33,0,0,0,-,0,-,0,0,0,0,-,1,0,0,0.0
2020-01-18,2,,小坂亜未,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2020-01-19,2,,小坂亜未,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-01-25,2,,小坂亜未,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,6,2,1,41.7
2020-02-01,2,,小坂亜未,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-02-02,2,,小坂亜未,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,3,2,1,83.3
2020-02-08,2,,小坂亜未,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-09,2,,小坂亜未,3,,,□,□,□,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
