試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-01-17,千葉ZELVA,2,,山田誠幸,3,■,■,■,nan,nan,5,3,0,60.0,60.0,1.00,0,0,0,-,2,0.67,5,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,4,,橋本大海,3,■,■,■,nan,nan,17,7,0,41.2,41.2,2.33,0,0,0,-,2,0.67,10,1,3,2,7.5,2,1,0,50.0,,,,,,,,
2021-01-17,千葉ZELVA,5,,板橋健之,3,■,■,■,nan,nan,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,8,0,1,1,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,6,L,野澤辰義,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,6,5,53.1,,,,,,,,
2021-01-17,千葉ZELVA,7,,齋藤貴紀,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,8,,村松俊輔,3,■,■,■,nan,nan,33,12,6,36.4,18.2,4.00,10,5,2,50.0,0,-,7,0,0,1,3.6,2,1,0,50.0,,,,,,,,
2021-01-17,千葉ZELVA,11,,福澤直己,3,□,□,■,nan,nan,5,0,1,0.0,-20.0,-,2,0,0,0.0,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,12,,大町和幸,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,14,,紀之定俊輔,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,18,,高田晋作,3,■,■,■,nan,nan,19,9,1,47.4,42.1,3.00,0,0,0,-,0,-,9,1,2,2,11.1,19,5,9,50.0,,,,,,,,
2021-01-17,千葉ZELVA,20,,杉崎大和,3,■,■,□,nan,nan,15,4,0,26.7,26.7,1.33,2,0,0,0.0,0,-,8,0,3,3,0.0,29,11,13,60.3,,,,,,,,
2021-01-17,千葉ZELVA,21,,上田日登,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,23,,羽富琉偉,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-01-17,千葉ZELVA,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,95,36,8,37.9,29.5,12.00,14,5,2,35.7,4,1.33,54,2,10,10,3.7,68,24,27,55.1,70,42,5,60.0,12,4.00,3.7,63.1
