試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-11-14,千葉エンゼルクロス,4,,石川綾菜,3,□,□,nan,□,nan,4,0,1,0.0,-25.0,-,1,0,1,0.0,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,5,,森田紫,4,■,■,■,■,nan,25,9,0,36.0,36.0,2.25,0,0,0,-,0,-,12,0,0,1,2.1,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,7,,渋川小夏,4,■,■,■,■,nan,45,14,3,31.1,24.4,3.50,2,0,1,0.0,0,-,13,0,1,1,0.0,25,7,7,42.0,,,,,,,,
2020-11-14,千葉エンゼルクロス,9,,岡村真衣,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,11,,関根友香,1,nan,nan,nan,□,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,12,,吉田奈未,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,13,,木村汐里,4,■,■,■,■,nan,53,14,8,26.4,11.3,3.50,1,0,0,0.0,0,-,13,1,1,4,13.5,25,9,10,56.0,,,,,,,,
2020-11-14,千葉エンゼルクロス,14,L,鶴ヶ崎佳寿葉,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,10,6,72.2,,,,,,,,
2020-11-14,千葉エンゼルクロス,15,,中島優花,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,16,,名原寧音,4,■,■,■,■,nan,3,1,0,33.3,33.3,0.25,0,0,0,-,0,-,11,0,0,5,11.4,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,18,,徳石あかり,4,■,■,■,■,nan,33,7,3,21.2,12.1,1.75,0,0,0,-,2,0.50,12,0,0,3,6.2,1,0,0,0.0,,,,,,,,
2020-11-14,千葉エンゼルクロス,19,,鶴田佳菜,4,■,■,■,■,nan,40,7,4,17.5,7.5,1.75,5,0,1,0.0,0,-,13,0,0,4,7.7,1,0,0,0.0,,,,,,,,
2020-11-14,千葉エンゼルクロス,20,,古川友,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,3,2,40.0,,,,,,,,
2020-11-14,千葉エンゼルクロス,21,,松原南,1,nan,nan,□,nan,nan,4,0,1,0.0,-25.0,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2020-11-14,千葉エンゼルクロス,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,209,52,20,24.9,15.3,13.00,9,0,3,0.0,2,0.50,78,1,2,18,6.4,80,29,25,51.9,205,56,8,27.3,13,3.25,6.9,62.0
